global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	aroma_motion_02	aroma_motion_03	aroma_motion_05	aroma_motion_06	aroma_motion_09	aroma_motion_13	aroma_motion_17	aroma_motion_18	aroma_motion_19
64879.180694515184	n/a	n/a	4209308087.591552	78317.5105822871	n/a	6133632463.806651	n/a	64932.55656107523	n/a	n/a	4216236901.557234	66802.23593568314	53729.769816492495	n/a	n/a	n/a	n/a	-0.0333258603	0.2125704739	-0.034986081	0.2868257776	-0.0329210581	0.157291397	-0.3324996114	0.0882405605	-0.1255873591	0.0446549554	-0.0850231121	0.1632051328	0.0336259978	-0.2833270137	0.1130717479	-0.1550667578	0.2673282275	-0.0184586545	0.1084337479	-0.0273129264	0.0850339746	-0.1077033183	0.0365280076	-0.1953838598	0.0617312309	-0.124482389	-0.0165939081	-0.0900474556	0.029926547	-0.1698157808	-0.0034984939	-0.0740381078	0.0462755404	0.245153841	-0.0612024791	-0.0066904733	-0.0306806649	-0.0096829316	0.129718725	0.2422553564	-0.0824388664	0.1466522192	-0.3386030154	-0.1470553042	0.0573723749	-0.1291900061	0.086508424	-0.121234783	0.0775146018	-0.1528656262	0.0620309869	-0.1242045331	0.1193222317	-0.0329278846	-0.1187471966	0.1411101892	-0.0939705788	-0.0407765566	-0.0389404655	0.1071581424	0.0569173189	-0.068810886	-0.0873091122	-0.007529516	0.1011620846	-0.1234777879	0.308047389	-0.1722246892	0.1623127188	-0.0467098258	0.0506763536	-0.169225928	0.0050562827	-0.1986878964	-0.0764202345	0.1193303631	-0.0356282078	0.0523095788	-0.045209824	0.0958465052	-0.0474567566	0.034661466	-0.1042678976	0.1730662436	-0.0591017347	0.0461749376	0.1614125724	-0.1052645216	-0.1222792306	0.1643619509	-0.0252349	n/a	0.00063680017801	n/a	-4.21516e-05	n/a	n/a	1.7767573825599996e-09	-0.0183177	n/a	n/a	0.00033553813329	0.000766153	n/a	n/a	5.869904194089999e-07	-0.00198121	n/a	3.925193064100001e-06	n/a	0.00150446	n/a	2.2633998916e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.5539498261	1.205846082	0.3775927989	-0.5132972313	-1.943900696	-0.0216167952	1.031323293	-0.02509394389	-2.297659937
64975.96458901652	96.78389450133544	9367.12223484563	4221875974.273129	77864.48309267672	-453.02748961038014	6062877727.289739	205233.9063426831	64988.277265387536	55.72070431230532	3104.79688905936	4223476181.9228864	66833.62492278343	51819.92252342133	1.482127	30.881474	0.0764687015999999	0.0389152	0.0058486823	0.2912058373	0.040391889	0.1972669655	0.1131556678	0.20232986	-0.2636410129	0.1816709418	0.0242192139	-0.0381008183	-0.0460606785	-0.0224954431	-0.0820316835	-0.2803107119	-0.1318353338	-0.0165344301	0.1174258214	0.0931927255	0.137381321	-0.0863350919	-0.1426882916	0.0864083655	0.1050429264	0.1351468726	0.1634492981	-0.0245690378	0.0470438163	0.1236068112	-0.0263348495	0.2360894953	-0.0877745197	-0.04968487	0.1075116731	0.1578701624	-0.1048312306	0.0928597368	0.2337344063	0.1272463305	0.1171802096	0.2466079138	0.0066732702	0.2372288984	-0.0625746046	-0.1193736141	0.0184177664	-0.1616987065	0.1412878276	0.0880352645	-0.0164376877	0.0176293245	-0.2475274917	-0.0155645425	0.1004878574	0.0755785325	0.2178867284	-0.0229717257	0.1953888825	0.0313951692	-0.2119489859	-0.0351234534	0.0837869363	0.1168739176	-0.0071015848	0.0268995934	0.1455523474	-0.155963824	0.3697361166	-0.0537445488	0.2289926789	-0.0193577258	0.0040127408	-0.1655407565	0.0631929322	0.0335979451	0.1532168702	0.2716430694	-0.0744273585	0.1712046858	-0.0193556848	0.0503549361	-0.1035211163	-0.1025319122	0.0517799726	0.0821679562	0.041247421	-0.0024263616	-0.1555242179	0.0166323595	-0.1249658855	0.1640657595	-0.0267487	-0.0015137999999999	0.00071549295169	2.2915904399999973e-06	0.0174989	0.0175410516	0.0003076884912338	0.00030621150121	-0.0216237	-0.003306	1.0929636e-05	0.0004675844016899	0.00117736	0.0004112069999999	1.6909119684899993e-07	1.3861765695999998e-06	-0.00215662	-0.0001754099999999	4.6510098244e-06	3.076866809999999e-08	0.002	0.00049554	4e-06	2.4555989160000003e-07	0.0	0.0	0.0	0.0	0.0	1.140379516	1.029933343	-1.166637931	-1.281692075	-1.42619192	0.23432612	1.157453794	1.793515531	0.5417570025
65179.1379101072	203.1733210906823	41279.39840301748	4248320018.704774	78055.68248146716	191.19938879043912	6092689567.647618	36557.206273837495	65009.79861084726	21.52134545972513	463.16831039683126	4226273915.4229183	66947.49395348837	53242.90677960772	1.370053	28.546309	0.0592752	0.0354532	0.0297732552	0.3119456989	-0.0540830912	0.0220043855	0.1761487225	0.0911125817	-0.1378086739	0.2207632434	0.0193774433	0.0377708721	-0.0680481164	-0.0304987308	-0.0464544218	-0.2381479578	0.0207100575	-0.1477938526	0.2266222485	0.1319150459	0.0323922224	-0.1122036795	-0.0253643319	-0.0899687642	-0.079441149	-0.2013594364	-0.0306387462	-0.0377253445	0.1116739424	-0.0611819931	0.1397177703	-0.1438941261	0.0008767834	0.1072082742	0.0559669968	-0.1737195976	0.1869315917	-0.0177238585	-0.0223153753	0.034127426	-0.1134202927	0.2284660251	0.0703864164	0.1170951429	-0.2084334147	-0.0990267717	-0.1454445302	-0.0175340469	0.0414611008	0.1186998535	-0.0694694373	-0.0254665004	0.0591335305	-0.1033650598	-0.028666713	0.0311504063	-0.2375875727	-0.0034685198	-0.0745653601	-0.0375223557	0.1459818538	-0.049614962	-0.0741920436	0.0278452047	0.1451548364	-0.0213603069	0.1629414926	-0.1075796339	0.4163724922	0.0234491674	-0.0329518219	-0.00537309	-0.01907865	0.0357419809	0.1110963495	0.0265901262	-0.1118417025	0.0157709756	-0.0265988104	0.0271659253	0.1021823754	0.0718546838	-0.007538076	-0.0880601142	0.041973941	-0.0431819173	-0.0342071209	-0.2685488936	-0.0670460223	-0.0981293327	0.1802076351	0.1634739106	-0.0270416	-0.0002928999999999	0.00073124813056	8.579040999999925e-08	-0.0100498	-0.0275487	0.00075893087169	0.0001009984800399	-0.0196971	0.0019266	3.711787560000002e-06	0.00038797574841	0.00096888	-0.0002084799999999	4.3463910399999976e-08	9.387284544e-07	-0.00215662	0.0	4.6510098244e-06	0.0	0.00161834	-0.00038166	2.6190243556e-06	1.4566435560000001e-07	0.0	0.0	0.0	0.0	0.0	0.7733562835	-0.8129128257	-0.7972272457	-1.759277668	1.094723571	0.7193715411	-0.1566049018	0.3634120028	-0.3713190136
65341.95527348211	162.8173633749102	26509.49381635755	4269571118.9617367	77797.98994499426	-257.6925364728959	6052527239.481428	66405.44335383478	65067.52207921733	57.72346837006626	3331.99880067004	4233782429.529434	66943.29617732558	59391.5238100559	2.517175	52.447651	0.09246305	0.0515374	-0.0394012841	0.1887263773	-0.2727842936	-0.0042233425	0.2510543108	0.0332484576	-0.1807051013	0.0903013659	0.0519832729	0.120024117	0.001532955	0.1821073467	-0.0517593269	-0.1380037852	0.0453829389	-0.1509048529	0.1017597841	0.2177882009	-0.2112451033	-0.2440824414	-0.0711627984	0.0853834898	0.1182500365	-0.1212956834	-0.0830295027	0.0568642056	-0.0732247984	-0.021182077	0.031836408	0.0208526385	-0.2680993106	-0.0074780535	-0.009661869	-0.1383525609	0.0442758584	-0.0876720821	-0.091983993	-0.1455501514	-0.1779639063	0.172301874	0.0603368348	-0.0495862892	-0.1271835815	-0.2390572946	0.0686852306	-0.1160374012	-0.1442034244	0.1361598095	-0.2791895295	0.1605409313	-0.1332118396	0.031006089	-0.0083877578	-0.047089088	-0.1219439712	0.0745591793	-0.015185283	0.0587422627	-0.0455988051	0.1399488324	-0.2157105001	0.0608921793	0.0537979862	-0.2160406961	-0.111323185	-0.1273662337	0.2294973988	-0.1346414252	-0.1792270598	0.0406501559	-0.0011038795	-0.1373557741	0.2189173289	0.0158774073	0.1667789228	-0.0256240026	0.1051554203	-0.0334117859	0.0238611897	-0.0392190015	0.0098450144	-0.0006914267	-0.0336163024	-0.0902520531	-0.1661982831	0.048567317	0.0513320668	0.1589238819	0.0040891442	0.1625874706	-0.0348321	-0.0077904999999999	0.0012132751904099	6.069189024999998e-05	0.0187625	0.0288123	0.0008301486312899	0.00035203140625	-0.0623236	-0.0426265	0.0018170185022499	0.00388423111696	0.000831115	-0.0001377649999999	1.8979195225e-08	6.90752143225e-07	-0.00207074	8.587999999999998e-05	4.287964147600001e-06	7.3753743999999984e-09	0.00157731	-4.103000000000006e-05	2.4879068361e-06	1.683460900000005e-09	0.0	0.0	0.0	0.0	0.0	-0.7017890797	-1.027824056	-1.850892714	-1.0899822	-1.187561132	0.6382967954	0.3754513836	1.757682592	0.1323313613
65785.36879809927	443.4135246171573	196615.5538134103	4327714747.901933	78775.94751054562	977.9575655513618	6205649906.184239	956401.000019146	65170.82197473404	103.29989551671316	10670.868413763854	4247236036.862477	67088.95823673691	65471.3048184701	2.138131	44.549915	0.13155155	0.0731203	-0.1032815435	-0.0128466098	-0.1588487443	0.0639017826	0.1003147382	-0.1791789923	-0.152138968	0.1090843813	0.1458132611	-0.1257670028	-0.190297834	-0.0967866908	0.220982721	-0.008332546	-0.0010484716	-0.134857427	-0.1947802887	0.1819185121	0.0351950141	0.1317651713	0.1314914498	-0.0970021198	0.0904249016	-0.0275784286	0.1409442958	-0.0258648816	-0.0446105287	0.0794501796	0.1455875049	-0.258695605	-0.1559426792	0.0275639494	0.1812619901	-0.0736464797	0.0255297113	-0.1599455169	0.1249593522	0.0732673865	-0.0928379827	0.0686328806	-0.1252161003	-0.2441004843	0.0385298736	-0.1025328181	-0.2519469047	-0.0717524874	0.1710083699	-0.0360784266	0.1249766513	0.0968827658	-0.0228795556	-0.0421635139	-0.0741096729	0.1038178529	-0.1022804561	0.2311821004	-0.0775873925	0.1303582542	0.1317585335	-0.0691535875	-0.1226815821	0.0272497357	-0.3437091399	-0.1416365966	-0.0922472345	-0.1303785067	0.1146509342	-0.2142714904	-0.0712661086	-0.0745961191	-0.0510729904	0.0873770953	-0.2237842388	-0.0068977568	-0.0484354447	0.0638410179	-0.0268573032	-0.0968495014	0.2612493799	-0.0389297255	0.1564465783	-0.1429431612	-0.1268100427	-0.2702314135	0.1120609683	0.0019295243	-0.0370586465	0.0865154401	0.273356187	0.161408037	-0.0529942	-0.0181621	0.0028083852336399	0.00032986187641	-0.0361103	-0.0548728	0.00301102417984	0.0013039537660899	-0.062448	-0.0001243999999999	1.5475359999999186e-08	0.0038997527039999	0.00058113	-0.000249985	6.2492500225e-08	3.377120769e-07	-0.00126969	0.00080105	1.6121126961e-06	6.416811025000004e-07	0.0014605	-0.0001168099999999	2.13306025e-06	1.3644576099999993e-08	0.0	0.0	0.0	0.0	0.0	0.1217786148	-1.112767054	-0.6870773095	1.580101783	-0.5305374863	1.692254028	-0.5582238645	0.1215196691	-0.02511401529
65914.02417987307	128.65538177380222	16552.2072593628	4344658583.584892	79349.64600857378	573.6984980281559	6296366321.685968	329129.966639762	65246.6624050152	75.84043028116139	5751.7708652317015	4257126954.994024	67122.58503406613	67592.43657381818	1.636693	34.102001	0.13563185	0.0836786999999999	-0.1650466605	-0.097760173	0.0018612495	0.0722618726	-0.1352092029	-0.1301324339	0.0690275098	0.2048781549	0.1616726933	0.0606195876	-0.0026861056	0.0163368774	0.013484819	0.1326947564	-0.0687531755	-0.12503586	0.1204271541	0.3133702717	0.111999308	0.0282730312	0.0228831811	-0.0047100129	0.0218855446	0.1010953547	-0.1152927005	-0.1103727334	0.1748572919	0.0933206279	-0.13585838	-0.1070638381	0.0914059149	-0.0807652287	-0.1018965305	0.0204282452	-0.0879357286	0.0095916167	0.0533846979	-0.0172344775	-0.0102073255	-0.1315096349	-0.0225611132	0.0385246084	0.0091549464	-0.1830260885	-0.1758829467	-0.0821545457	0.1763331435	0.151772301	-0.120251472	-0.0752032391	-0.0253948481	-0.0373824769	-0.2032164787	-0.1035922774	0.0375302875	-0.0179450826	0.094621107	-0.0363333558	0.0392062835	0.0516270797	0.1619848821	-0.1340936975	-0.0511889626	0.1768918509	-0.0052455292	-0.1505429662	-0.0157984218	-0.1700646986	-0.0252586159	0.0383447933	-0.055628508	0.246916	0.3593386365	0.0326452766	0.0012455877	-0.0743329195	0.1252213851	-0.0744371882	0.003884067	-0.0786913989	0.0249989061	-0.1329283737	0.1239088776	-0.0941028448	0.2565508015	-0.0712906525	0.1322903917	0.1514743331	0.0678660144	0.1599377353	-0.0471566	0.0058375999999999	0.00222374492356	3.407757375999998e-05	0.0396181	0.0757284	0.00573479056656	0.00156959384761	-0.0960973	-0.0336493	0.00113227539049	0.00923469106729	0.000466419	-0.000114711	1.3158613521000008e-08	2.1754668356100003e-07	-0.00150434	-0.00023465	2.2630388356e-06	5.5060622500000046e-08	0.00151947	5.896999999999999e-05	2.3087890809e-06	3.477460899999998e-09	0.0	0.0	0.0	0.0	0.0	-1.79839532	-0.1000996963	1.835230129	0.5636228846	-1.249415277	1.436783492	-0.7230841982	1.78248714	2.269436745
65962.84741297002	48.82323309694766	2383.708090038885	4351097238.826765	78936.23406767921	-413.41194089456985	6230929048.787439	170909.43287421533	65185.27689732143	-61.385507693768886	3768.180554821759	4249120324.180468	67062.3390443314	67729.35610504291	1.046512	21.805046	0.093818525	0.0497545	-0.1462894658	-0.050515598	0.0151935139	-0.0239343655	0.0094279088	-0.1364239049	0.1952452375	0.2382374248	0.0459546436	-0.1280769304	0.0818324374	-0.0167090935	-0.0463348966	0.0796981922	0.0256636043	0.0116466261	-0.2099830155	0.2296576645	-0.1170974136	-0.0146367573	0.032326485	0.1108079753	0.0079740885	-0.0542911262	0.2246370421	-0.0328226998	0.1469649547	-0.1411427569	0.155654777	-0.0352491301	-0.0575737343	-0.0337367158	-0.2513899834	0.0312947765	-0.1598218733	0.1124029178	0.235572846	-0.0461783361	0.1332862741	-0.0704689595	0.0505713742	-0.1122438994	0.193071929	-0.052909387	-0.1269971488	-0.1662746949	0.0945730129	0.045092728	0.0527292595	0.1528963497	-0.1426747756	-0.1466335397	0.3189282958	-0.0828743623	-0.0998766938	-0.1161147037	-0.2038106471	0.2926208839	0.0747868051	0.0204838439	0.1126611612	0.046401194	0.0551245028	0.1717245535	-0.1518454668	-0.1425037421	-0.0686209642	-0.0992705709	0.1254947282	0.2846151539	0.0268941136	0.0349926725	-0.3816066748	-0.0577389793	0.0294039186	0.1060408604	0.2570843886	-0.0378374265	0.0916556698	-0.1920116743	0.1127516415	0.0563220715	0.1087924319	-0.1543775556	0.1183180976	0.1794752156	0.0987705544	-0.2151472222	-0.1383291579	0.1581792149	-0.058811	-0.0116544	0.003458733721	0.00013582503936	0.0396526	3.449999999999981e-05	1.1902499999999867e-09	0.00157232868676	-0.0694451	0.0266522	0.00071033976484	0.00482262191401	-7.649949999999998e-05	-0.0005429184999999	2.9476049764225e-07	5.852173500249997e-09	-0.0016472	-0.0001428599999999	2.71326784e-06	2.040897959999996e-08	0.0010957	-0.0004237699999999	1.20055849e-06	1.7958101289999997e-07	0.0	0.0	0.0	0.0	0.0	-0.5148995682	0.1147723769	0.7546489811	-0.1573238234	-1.40857536	1.906288169	2.591747541	0.3667902316	1.476534541
65849.14311345274	-113.70429951728148	12928.667728715654	4336109648.77598	78913.38745663188	-22.84661104732368	6227322719.8805065	521.9676363476923	65206.85717847644	21.58028115500929	465.708534729249	4251934223.094225	67108.56048964389	64396.35847120803	2.097641	43.706276	0.111181875	0.0650944	-0.0860166654	0.0710020121	0.0357825728	-0.1721821918	0.0975044654	-0.0720719473	0.1296803364	0.1687017766	0.0667547391	0.1312336761	0.119632364	-0.1593525957	-0.0297824146	0.0736377866	-0.0981261401	-0.1141617817	-0.087241589	0.0756912396	0.0064009563	0.113295253	0.0287824834	0.0669342314	0.1432628132	0.0359195507	-0.0792895765	-0.1243318069	-0.0210590082	-0.1093339915	0.0114520683	0.0794019208	0.1462018949	0.060434805	0.0624336874	-0.0482298878	0.0444647945	-0.1532568515	-0.0410114337	0.1030240573	0.0578060992	-0.0287434782	0.04134101	0.0217900383	0.1620720298	0.0019439407	-0.2335581072	0.0174394707	0.0330319698	-0.0507540898	-0.066720404	-0.0150218614	-0.0906158558	0.0162802597	-0.0286771481	-0.1205555003	0.0936402842	0.0354190873	-0.0867569847	-0.0602002976	0.0124528203	0.1930880619	0.0341148993	-0.0745507336	0.0263372481	0.1117082645	-0.0155512115	-0.1390510525	0.0342752792	0.0677678288	-0.0232558061	0.0407341763	0.010215766	0.3193764987	0.0257524452	-0.0915196658	0.1440973374	-0.2613515709	-0.1198536329	-0.0172015577	0.1139818378	-0.0680752447	0.0042869721	-0.0285754697	0.1689793762	0.0261644954	-0.1733927098	0.4188333871	-0.1390912327	0.0530457698	-0.0889007019	0.1561356449	-0.0588332	-2.22e-05	0.00346134542224	4.928399999999998e-10	0.0170386	-0.022614	0.000511392996	0.00029031388996	-0.0692964	0.0001487	2.2111690000000483e-08	0.0048019910529599	0.0010213	0.0010977995	1.20516374220025e-06	1.04305369e-06	-0.00140083	0.0002463699999999	1.9623246889e-06	6.069817689999995e-08	0.00151947	0.0004237699999999	2.3087890809e-06	1.7958101289999997e-07	0.0	0.0	0.0	0.0	0.0	1.504326258	0.7540532081	0.1229614111	-0.9638305883	1.44494343	1.191219299	-0.8020710689	1.741424661	0.8594924254
65926.7010821947	77.55796874196676	6015.238515379893	4346329915.581053	78713.69608782198	-199.6913688099012	6195845951.806002	39876.642777171975	65198.5734968655	-8.28368161094113	68.61938103144423	4250853986.0261726	67086.54327852471	67871.78087199754	2.051093	42.736416	0.1023337655	0.0603877	-0.1104151278	-0.0339560734	-0.1164288494	-0.1694995344	0.0865145827	-0.0731904424	0.1553120586	0.1274317205	0.0166935021	0.2219195266	0.1505570917	-0.0316281706	0.1643591828	-0.0550365375	-0.0291648824	-0.0789848351	-0.2203331894	-0.038082668	-0.0396461267	-0.126676302	-0.0236312301	-0.0281851012	0.1060123096	0.2122278045	0.1741100707	0.0447941375	0.1736897681	-0.1243255089	0.0516699978	0.2886595716	0.0989351307	-0.0445341078	0.0128486136	-0.138216889	0.1976443499	-0.0188281714	-0.1122158431	0.1345856712	-0.0608077571	0.0876521223	-0.0974696532	-0.1133918685	0.17619317	0.0400983313	-0.0753055221	0.1944180674	-0.0915312635	-0.083865431	-0.1259199246	-0.0527016631	-0.2077598087	-0.1834009067	-0.0060124483	-0.1037781847	0.1134014358	-0.0504900195	-0.1062966442	-0.1964604773	-0.098416506	-0.1040276068	-0.0284559464	0.0939006708	0.1674607827	-0.0123243796	-0.0695720883	-0.1275182803	-0.034684118	0.0634956274	-0.1372191005	0.288432029	0.0392398421	-0.0240293234	-0.0666158797	0.1121020325	0.013983187	-0.1378490845	0.1840591634	0.1101153793	-0.1023988572	0.2046622867	0.2689201584	0.0511995281	0.0458146322	-0.0103651271	-0.0777648866	-0.0573889135	-0.1715017162	0.0891467538	-0.2400030372	0.1538107079	-0.0588771	-4.3899999999999495e-05	0.00346651290441	1.9272099999999558e-09	0.0396342	0.0225956	0.00051056113936	0.00157086980964	-0.0729791999999999	-0.0036827999999999	1.3563015839999284e-05	0.0053259636326399	6.45069e-06	-0.00101484931	1.029919122007476e-06	4.16114014761e-11	-0.00146111	-6.028000000000001e-05	2.1348424321000003e-06	3.6336784000000014e-09	0.00107437	-0.0004450999999999	1.1542708969e-06	1.9811400999999998e-07	0.0	0.0	0.0	0.0	0.0	-0.2753515411	-0.9167362138	0.05496670096	-1.283587636	0.4691624188	0.3254460274	1.830002707	2.089068703	0.226511694
65830.7592828008	-95.94179939389868	9204.8288709391	4333688867.750065	78235.07404402955	-478.62204379243485	6120726810.674786	229079.06080404745	65140.622129084346	-57.95136778115557	3358.3610277067555	4243300651.3641534	67014.62444494914	64546.67749899379	1.953558	40.704174	0.0977188655	0.0666636	-0.0894303681	-0.0921483362	-0.1460394851	-0.1571538038	0.0970181214	-0.1544217356	0.0407522591	0.0122676999	0.1411387465	0.1685858784	0.2385098972	-0.024537088	-0.0942458972	-0.0537804317	-0.0798351791	-0.1491827034	-0.1016096535	0.0149685581	-0.0957552053	0.027087314	-0.2113981081	-0.0852953463	-0.0226211146	0.2608954452	-0.0354227869	-0.0820880184	-0.2623805902	-0.1263625112	-0.1405552822	-0.0816559996	0.1482458535	-0.0977595809	0.2074845447	-0.0996495161	-0.0169562368	-0.1098105281	-0.1542956978	-0.1308509797	0.1973761463	0.0264533122	0.1459620238	-0.0875899502	0.0957942063	-0.2018067267	-0.0768269712	0.0669952837	-0.1162304164	0.0523970088	0.0390839646	-0.0878765932	0.008862222	0.0516888319	-0.0205529952	-0.1040097965	0.2244842157	0.0861410631	-0.0107981433	-0.1696288942	-0.1733208613	0.0533282605	-0.2833346226	-0.1437326721	-0.01747707	0.219688898	0.0205460798	-0.1268696166	-0.0520768396	-0.0422602142	-0.2162631752	-0.0246844161	0.130372297	0.2024886324	-0.0051239975	-0.0124605368	0.0422507942	-0.1843129157	-0.108452037	0.0300325396	-0.1174715568	0.0644944693	-0.0671086241	0.0694285717	0.1833842078	0.1852375586	-0.1319954616	0.0385617784	0.0369129029	-0.17526377	0.1811439224	0.1512085936	-0.0523551	0.006522	0.00274105649601	4.2536484e-05	0.0172135	-0.0224207	0.00050268778849	0.00029630458225	-0.0810174	-0.0080382000000001	6.461265924000171e-05	0.00656381910276	0.00120199	0.00119553931	1.4293142417552763e-06	1.4447799601e-06	-0.00148033	-1.9219999999999918e-05	2.1913769089e-06	3.6940839999999667e-10	0.00107437	0.0	1.1542708969e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.3442468903	-0.1560003704	-0.351837371	0.3258818508	-0.3178985557	1.150444586	-1.112774321	1.694086706	-0.007077255351
