global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	aroma_motion_01	aroma_motion_02	aroma_motion_04	aroma_motion_05	aroma_motion_07	aroma_motion_09	aroma_motion_10	aroma_motion_11	aroma_motion_12	aroma_motion_13	aroma_motion_14	aroma_motion_15	aroma_motion_19	aroma_motion_21
68531.02177603383	n/a	4696500945.667223	n/a	112547.8131194377	n/a	12667010237.967876	n/a	66347.75382693528	n/a	4402024437.879605	n/a	73491.19993855337	72332.84462643244	n/a	n/a	n/a	n/a	-0.1641713873	-0.1195177847	-0.0085953427	0.1128741067	-0.0276557121	-0.090660989	-0.0118886603	0.0201423203	-0.1874285705	-0.0879858376	0.0611629713	-0.0013036177	0.0311143616	-0.07667386	0.0180900628	-0.0242668581	0.1801593438	-0.0528582649	0.0380527441	-0.0814217867	0.0188601131	-0.0057967559	0.0392719198	-0.1441256617	0.0821865811	0.0478812483	-0.1210336598	-0.1374265683	0.003031026	0.0971910068	-0.1130871531	-0.1954723944	-0.0185550365	-0.0240898302	-0.0591641679	0.0599524535	-0.0666896587	0.1353437818	-0.1589624363	-0.0850500908	0.0726801927	-0.0820841215	0.0026890643	-0.018223511	0.0423356076	-0.1021559335	0.0011290357	-0.0867218413	0.0234972753	-0.0047026672	-0.0152870441	0.0126121458	0.0031735573	0.0656233139	-0.058666489	0.0745605304	-0.035382094	0.2469506783	-0.1498328998	0.0372326331	-0.062202757	0.063985069	-0.2146517056	0.0762181839	0.0207992859	-0.0293243804	0.1083401101	-0.0644534877	0.2112409943	-0.0516856587	0.1862914712	-0.0404418127	0.2005113511	-0.2033680122	0.0971529534	-0.0297918742	-0.0525974407	0.083779343	0.1643619509	0.0136459	n/a	n/a	0.00018621058681	-0.0152951	n/a	n/a	0.00023394008401	0.0302087	n/a	n/a	0.00091256555569	0.000116482	n/a	1.3568056324e-08	n/a	-0.000652534	n/a	4.2580062115600006e-07	n/a	0.00156201	n/a	2.4398752401e-06	n/a	-1.447641475	0.7146042319	1.288914302	1.504879605	0.2483744666	1.249083422	0.3644142665	-1.616256362	0.7569712667	-0.4945096592	0.2527002833	-0.01077279331	-1.059449777	-0.9814405199
68486.91266838399	-44.10910764984146	4690457206.846855	1945.6133776653023	113607.59166413837	1059.7785447006609	12906684883.7256	1123130.5638078507	66289.61944796954	-58.134378965740325	4394313646.556622	3379.606017732311	73331.76964009831	71130.25284895765	1.239906	25.766033	0.18920362	0.121343	-0.0147326611	0.2267359346	-0.0777779101	-0.0588203821	-0.1025525835	0.1746854817	0.0896226654	-0.1211575756	0.0830618358	-0.1666098465	0.1494257298	0.0982525996	0.1142996651	-0.1130767919	0.0522732652	0.118201366	-0.0341287669	0.0362492337	-0.1951119319	0.115264343	0.2761930696	0.0483695106	0.0456745875	-0.0082724321	0.1536342081	-0.1087753954	-0.0337407106	-0.0815168452	-0.088381621	-0.2620108314	0.0554487959	-0.046571059	-0.0618784665	-0.1254795892	0.0111224776	-0.1986639502	-0.2458284062	-0.1253471267	-0.108386057	0.102853468	-0.0664403473	0.0205068762	-0.0025380369	-0.0658859631	0.0785058055	-0.0720077118	0.1172634597	-0.1895315811	-0.1293868491	-0.0114609299	0.0887668899	0.1734515049	-0.0444246746	0.1464498716	-0.1322319368	0.0489210271	-0.0387180263	0.0553491125	0.2783446529	-0.0248180208	-0.2890507296	0.027432976	-0.2023312125	0.0376865837	-0.0300962319	-0.1350354648	0.1331281379	0.0013469157	0.0815073695	0.0123521747	0.0660785627	-0.27499155	0.0364401619	-0.1819224355	0.0096938605	0.1144357912	-0.0819275983	-0.1264096243	0.1640657595	0.0143247	0.0006787999999999	4.60769439999998e-07	0.0002051970300899	0.00458192	0.01987702	0.0003950959240804	2.09939908864e-05	0.10534	0.0751313	0.00564471223969	0.0110965156	-0.00162691	-0.001743392	2.6468361481000003e-06	3.039415665664e-06	-0.000779472	-0.000126938	6.075765987840001e-07	1.6113255844000012e-08	0.00156201	0.0	2.4398752401e-06	0.0	0.5003737771	0.1522826236	-0.4867352348	0.0464854128	0.9356142189	-0.9203606361	0.0655049091	-1.558178591	0.755620893	0.9833828187	-1.24285077	1.278762745	-1.752578344	1.513859188
68738.71639330366	251.80372491967864	4725011131.399034	63405.11588342519	112512.21522299758	-1095.37644114079	12658998574.386127	1199849.5478062627	66464.64471820612	175.0252702365833	4417548997.517365	30633.845221389016	73601.75632746665	77573.44200349631	2.51867	52.339554	0.23420458	0.145858	0.0300186222	-0.1695703074	-0.156809664	0.1554826413	0.0867007994	-0.1655965424	0.109147627	0.0197421607	0.0854673348	0.0892355759	-0.0178756121	-0.1448570575	-0.1813018983	-0.1126967168	0.0288017448	-0.1709536015	-0.1263582665	-0.067229131	-0.0490728686	-0.0246157876	0.2039358706	0.3472755102	0.0753931475	0.0231694135	0.0262952119	0.0561850166	-0.2159308215	-0.0383779491	-0.1305920023	0.1228094875	-0.0333754954	0.1185793852	0.1262353807	0.0913807578	0.0399351319	0.1743994054	0.0051872007	0.0062520088	0.1285702127	0.107643336	0.2117728429	0.0234835779	-0.0973905451	-0.0493633869	0.0127750039	-0.2655706176	-0.0954644325	-0.2869763326	-0.1302786877	-0.0857659943	0.0560434487	-0.0412016861	-0.0705141116	-0.0249065028	-0.009788162	-0.0842349689	-0.0385896534	0.2262190937	-0.1408683109	-0.1716461931	-0.1530341089	0.0512762819	0.0357646935	-0.022669777	-0.0223877637	-0.1741015935	-0.0237767481	-0.1308609762	0.1979497122	0.186687388	0.064508641	0.0655204866	0.1750825424	0.088767588	-0.0521650594	0.2473734477	0.0213167847	-0.0485867556	0.1634739106	0.0219534	0.0076287	5.819706369000003e-05	0.00048195177156	0.0279994	0.02341748	0.0005483783695504	0.00078396640036	-0.0133916	-0.1187316	0.01409719283856	0.00017933495056	-0.000184852	0.001442058	3.4170261904e-08	2.079531275364e-06	-0.00102595	-0.000246478	1.0525734025e-06	6.075140448400003e-08	0.00156201	0.0	2.4398752401e-06	0.0	-0.04489311385	0.9848049628	0.3011723184	1.228187922	-0.2482449837	2.289979593	0.3471368382	-1.542886082	0.38650526	-0.6057746826	-0.1930867867	-0.8462116624	0.9022548322	-0.1342046496
68589.08324158833	-149.6331517153303	4704462339.921534	22390.08009226306	113980.78485285194	1468.5696298543626	12991619315.67212	2156696.7577305795	66564.34100231146	99.69628410533188	4430811493.072002	9939.349064411048	73524.07079968399	71448.41924805865	2.546379	52.915379	0.14717655	0.0869501	-0.0976674578	0.2036543687	0.0957009921	0.0600807088	-0.1756535717	0.1613501146	-0.0179323719	0.1243056721	0.1702016597	0.1513444217	0.1177964425	-0.0298001957	-0.2771635978	-0.1229717114	0.0149294882	0.0957209732	0.1294798809	0.1886246033	-0.1510920141	-0.0909864105	0.0699827351	-0.1083584263	0.1797356733	0.1251542332	-0.1604099323	0.0366566539	-0.1081382448	-0.0162790819	0.0187688971	-0.1289205875	-0.0299646808	0.0839808089	-0.0434047513	-0.1666059696	0.10969085	-0.1561347354	0.0910743543	0.1389916927	0.1933343446	0.156186	0.1502926674	0.1138962407	0.0373443623	-0.0448384094	0.2660240837	-0.1020539045	-0.0542676598	0.0878224728	0.1509607486	0.1587670729	0.0832710462	0.070813388	-0.0045170592	0.0993804691	-0.1084176677	0.0675878728	-0.0371982544	0.1476382579	0.2580808382	0.1595526351	-0.2119863698	0.0777544949	-0.0028319654	0.0319514921	-0.0177113307	-0.2430315723	-0.1045443988	-0.0460111879	-0.033500568	-0.0021860029	0.0040892504	0.022454689	-0.109808688	0.0237910318	-0.0749137743	-0.0479779949	-0.0249666118	-0.0607056963	0.1625874706	0.0135919	-0.0083615	6.991468225000002e-05	0.00018473974561	0.0390341	0.0110347	0.00012176460409	0.00152366096281	0.0646139	0.0780055	0.00608485803025	0.00417495607321	-0.000734052	-0.0005492	5.38832338704e-07	3.0162064e-07	-0.000866963	0.000158987	7.51624843369e-07	2.5276866169000026e-08	0.00184932	0.00028731	3.4199844624e-06	8.254703610000002e-08	-0.6254947272	0.633832474	-0.6463560583	-0.01306301574	1.017987722	-1.678160466	0.09147174084	-2.003408687	1.471547012	1.814603017	0.870818907	0.1440637468	0.6281620946	0.3030376659
68828.87403795926	239.79079637092943	4737413901.333262	57499.62602420456	112603.74365392394	-1377.0411989279964	12679603084.878616	1896242.463545054	66577.16173121374	12.820728902283008	4432518464.184191	164.37108958583488	73729.57195224719	77898.24503354945	2.699769	56.102905	0.1285485100999999	0.0964597	0.1143578427	-0.0300973731	-0.1187838395	0.1848399919	0.1282541998	-0.075996023	0.2065814261	0.0472270491	0.1471444671	0.1223069556	0.1685089238	-0.2707826557	0.0510463014	0.1177815358	0.1103536527	0.0278256503	0.1162610195	0.1045054668	0.0767038964	-0.0197239837	-0.0066137021	-0.038850178	0.0745796192	0.1412986035	-0.0337611743	0.0801937117	-0.0529752812	0.0225147425	-0.1157161091	-0.0085882468	0.2070579019	-0.1649122008	-0.0195961704	0.1357529832	0.1568371148	0.1308402525	-0.0767906262	0.1127817132	0.1605727898	-0.1081111105	-0.0088904447	-0.1179256198	0.0144653093	-0.1305653011	0.0665075365	-0.2184713336	0.0078578653	0.1913519268	7.33124e-05	0.138963668	-0.0598933249	0.0349872268	-0.007901945	-0.0871856838	0.0006076119	-0.1601986942	-0.0068640223	0.1433907169	-0.0326354853	-0.1570557651	-0.1091479175	0.1180300213	0.0164265676	-0.1246411851	0.0010234779	-0.1255237865	0.0544442281	-0.0242113079	0.0546943111	-0.099184048	-0.0092127436	0.0707577819	-0.0231330802	0.1182202737	0.0399123872	-0.0634947063	0.1856314462	0.1737037445	0.161408037	-2.46101e-05	-0.0136165101	0.0001854093473034	6.0565702201e-10	0.0390369	2.799999999997249e-06	7.839999999984596e-12	0.00152387956161	-0.0289554	-0.0935693	0.0087552139024899	0.00083841518916	-0.000598384	0.000135668	3.58063411456e-07	1.8405806224000007e-08	-0.000871183	-4.219999999999983e-06	7.58959819489e-07	1.780839999999986e-11	0.00156201	-0.00028731	2.4398752401e-06	8.254703610000002e-08	1.469615806	1.111694485	0.9649645927	0.8632498783	-0.07398322498	0.6642837854	0.1608930762	-1.425151173	0.1038118982	-0.158007832	-1.323025739	-2.086605292	0.9347432119	-0.7095993173
68684.6253601801	-144.2486777791637	4717577760.868296	20807.681041036994	113397.9595153216	794.2158613976644	12859097222.238518	630778.8344956341	66358.20236867748	-218.95936253626127	4403411021.602353	47943.20244228592	73328.14697902037	72297.32960692476	2.708625	56.286949	0.1617096539999999	0.126199	-0.181643007	0.0948631045	0.0753354896	0.0813399714	-0.2165158336	-0.0223048561	-0.0378287045	0.1720282534	0.1720635648	-0.104993248	0.1428894071	0.1003535982	-0.0293878681	0.060382099	-0.1090147625	-0.0901438534	0.0885851926	0.1040249756	-0.0693635982	-0.0946449244	-0.1308165724	-0.0259831081	0.1261857926	-0.0957243703	-0.057982397	0.0539608202	-0.0144300645	0.1000006384	-0.0263485686	0.2026609154	-0.1776913268	0.03298959	-0.2037116437	-0.2096095958	-0.0762522816	0.0036668867	-0.0270068217	0.1182292581	0.0557097654	0.0258146768	-0.1978731046	-0.0698964994	-0.0904070792	-0.0413836687	0.0690143207	-0.0334474819	-0.1370329328	-0.0968935753	0.1219230926	0.0044719287	0.0566707529	-0.2544444937	0.0806129014	0.0731148066	-0.1177505522	0.1230693436	-0.027656966	0.1563056371	0.1234145738	0.0784848416	-0.0360146227	0.0593115505	0.1278086095	-0.0363262712	0.0213433141	-0.1670180089	-0.0445469916	0.0770021862	-0.0574447527	-0.0014614396	-0.1465755223	-0.051380121	-0.1200300351	0.0398479872	-0.0954991128	0.0785738685	0.1396972306	-0.0367907458	0.1599377353	-6.77641e-05	-4.3154e-05	1.862267716e-09	4.59197324881e-09	0.0647891	0.0257522	0.00066317580484	0.00419762747881	0.0935918	0.1225472	0.0150178162278399	0.00875942502724	-0.000602309	-3.9250000000000005e-06	3.62776131481e-07	1.5405625000000003e-11	-0.0011346	-0.0002634169999999	1.28731716e-06	6.938851588899999e-08	0.00156201	0.0	2.4398752401e-06	0.0	-1.607793816	0.4923149046	-0.568288505	0.3804407765	1.879503514	0.2638465221	-0.4549886061	-0.4267311656	0.8365499734	1.957463252	0.2581554408	0.9876076687	-1.384724787	-0.4613247421
68711.81760422037	27.19224404027045	4721313878.475649	739.4181359456239	112896.17894164645	-501.7805736751616	12745547219.624254	251783.74411777424	66433.57897763325	75.37660895577574	4413420415.777435	5681.633177671931	73603.91590545997	77345.62902110507	2.638517	54.830063	0.2002333141	0.127983	0.0870680309	0.0266902769	-0.058601597	0.122096581	0.1151333432	0.0716346204	0.1439993255	0.0603994968	0.023773902	0.1709402785	-0.0922560774	-0.013872375	0.1669800623	0.0624649099	-0.1348243171	-0.115305079	-0.0358258768	-0.0716272577	0.3177925694	-0.1396435929	0.0167795103	0.0490888115	0.1160008459	-0.1282997873	-0.2052661516	0.0078282133	0.2396209104	0.0728185811	-0.0663021859	0.02887411	-0.0205226451	0.0256626221	-0.0598953354	0.1187284035	0.1597202075	0.0597281196	0.0894832483	-0.0269983529	-0.07790094	-0.0766929123	-0.1231961058	-0.0690382734	-0.1524709559	0.157365868	-0.1049196774	-0.0574119308	-0.1294320704	0.0948795198	0.1415153742	-0.1682800634	0.2033989985	-0.1903462195	0.1529828358	-0.0451509582	-0.0008281488	-0.1536852123	0.0304341105	0.1032435379	0.0398978773	-0.1099535533	0.035125413	0.0166266148	0.0426628553	-0.1030611189	0.0589299684	0.034224463	-0.0209212152	0.0671113505	-0.0483223221	0.079796975	-0.1038445334	0.0657482345	0.1152761445	0.044417929	0.230533198	0.2039140027	-0.1687556292	-0.1519279479	0.1581792149	0.00957117	0.0096389341	9.29090505841428e-05	9.16072951689e-05	0.0217993	-0.0429898	0.00184812290404	0.00047520948049	-0.0209554	-0.1145472	0.01312106102784	0.0004391287891599	-1.47814e-05	0.0005875276	2.1848978596e-10	3.4518868076176e-07	-0.00106098	7.361999999999994e-05	1.1256785604e-06	5.41990439999999e-09	0.00156201	0.0	2.4398752401e-06	0.0	1.089963616	1.020864141	0.5527139111	0.08381931469	0.013979769	0.2812633848	-0.4296641416	-0.3064813322	0.09625152586	0.3304454775	-1.435912251	-0.6894202943	1.505730603	-0.5414366605
68427.16851521369	-284.649089006678	4682277391.009452	81025.10387233167	112775.66951734426	-120.50942430218856	12718351635.08525	14522.521345644916	66373.48197289703	-60.0970047362207	4405439109.206488	3611.6499782653327	73312.40625746138	71948.89464139305	2.563889	53.279228	0.142387307	0.086339	-0.1445065173	-0.0082269226	-0.0013030513	-0.0223341723	-0.1017364891	-0.0610640248	-0.04853138	0.0477611807	-0.0659609084	0.0225856314	0.0248353902	0.1438810985	0.0226647659	0.0067007215	-0.2108989505	0.1941977997	0.1133928182	0.0601672544	0.1139096463	-0.0560865955	-0.0165200632	0.1537607162	-0.0366106594	0.1405046113	-0.0270721728	0.1932197314	-0.0904024277	-0.0009449961	0.0521603499	0.2527422239	0.1346717852	-0.1108275147	-0.0904038897	-0.1218436374	-0.038218874	0.030222624	0.0771146339	0.0822753583	-0.0980278376	-0.0553603117	-0.1824908739	0.197287601	-0.005629156	0.0658658818	0.0883262376	-0.1248774142	0.006396762	0.1578573419	-0.0502479801	-0.1609551107	-0.0152600924	-0.0467046119	-0.180543212	-0.0716922365	-0.0762756883	0.0874560114	0.000773642	0.1267234184	0.0446323968	0.0687733943	0.0528739613	-0.0698115739	0.1265973039	-0.0114726905	-0.0357157949	0.0135856166	0.0024650208	0.1533132954	0.0953323741	0.1689104751	-0.1075775998	-0.0039621224	0.0332349199	-0.0995474376	-0.032807479	-0.0811467293	-0.0799712611	-0.0151904952	0.1561356449	-0.000119457	-0.009690627	9.3908251653129e-05	1.4269974849e-08	0.0591709	0.0373716	0.00139663648656	0.0035011954068099	0.055086	0.0760414	0.00578229451396	0.003034467396	-0.000145431	-0.0001306496	2.1150175761000003e-08	1.706931798016e-08	-0.000862676	0.0001983039999999	7.442098809760001e-07	3.9324476415999984e-08	0.00150529	-5.6719999999999904e-05	2.2658979841000004e-06	3.2171583999999884e-09	-0.9060412122	0.5518618342	-0.5076119254	0.2755587913	1.141936542	0.3367368539	0.005848714384	-0.7511462518	0.7076953201	0.5132532674	-0.1388247488	0.5196161631	-0.3062713283	-1.265269838
68503.27113142319	76.10261620949314	4692698155.705277	5791.608193929407	112962.0474944377	186.3779770934489	12760424174.1356	34736.75034544615	66351.63066816986	-21.85130472716992	4402538892.325219	477.4795182796384	73585.13315791784	76867.3135347999	2.49679	51.884888	0.165568887	0.0985351	0.0906481925	0.0319934698	0.0123310437	0.061355876	0.0836627165	0.1278353721	0.1081445637	-0.0040727538	-0.0464271255	0.0485253098	-0.0406118946	0.0019420864	0.0972161606	-0.1241595984	0.0963824695	0.0778386458	-0.0834856007	-0.2007393971	0.1374644598	-0.1595115981	-0.0371524002	0.1385546865	-0.0738537544	-0.0526192342	-0.0534823246	-0.0518684006	0.0919246897	0.0312025818	-0.0528284811	-0.0304577364	-0.01780919	-0.0733679821	-0.1251588179	0.1011614897	0.1087904733	-0.0656133041	-0.0266300585	-0.0351932479	-0.1293743073	-0.0635168201	0.0673600844	-0.0080944637	0.092762847	0.0747574874	-0.1657144895	0.0176486259	-0.193132909	0.0280893895	0.0846144395	-0.1571108299	0.0053800585	-0.0459388732	0.0905261802	0.0647421751	0.0149018822	-0.1511755694	-0.012189556	0.0853061404	0.0410412064	-0.1035951589	0.1142657936	-0.0024217383	-0.0423650319	0.0016312924	0.0178179985	0.0865331309	-0.0260650927	0.077615566	-0.1270681693	0.002141233	0.0509206872	0.0409433433	0.1303559589	0.0937616093	0.183953884	0.0399552925	-0.0541535838	-0.0748112633	0.1538107079	0.0112585	0.011377957	0.0001294579054938	0.0001267538222499	-0.00177563	-0.06094653	0.0037144795190409	3.1528618969e-06	-0.0201947	-0.0752807	0.00566718379249	0.0004078259080899	-0.000145431	0.0	2.1150175761000003e-08	0.0	-0.00116523	-0.0003025539999999	1.3577609529e-06	9.153892291599996e-08	0.00156201	5.6719999999999904e-05	2.4398752401e-06	3.2171583999999884e-09	0.4115996405	0.8362173385	0.1620132316	0.2351474441	-1.11586484	-0.5691251579	-0.5071513567	-1.139545004	0.2130290582	-0.06608155159	-1.445909409	-0.7615236187	0.4745504551	0.1015520356
68315.34961409128	-187.92151733190985	4666986992.895521	35314.4966763273	112629.39760947612	-332.6498849615891	12685381205.873465	110655.94596495848	66293.9343699012	-57.696298268667306	4394885734.240767	3328.862833907022	73296.88892161165	71487.35797553528	2.493974	51.82637	0.13867433	0.085333	-0.1142523927	-0.0504798418	-0.0576407611	-0.0896525031	-0.1105574851	-0.0926943152	-0.0392273158	-0.1161721471	-0.0175045252	-0.0769129732	-0.0121604875	0.1904982151	0.0189508344	0.0968822933	-0.2092310171	0.1143619728	0.0061586664	-0.020833325	-0.0827491371	-0.2296333666	-0.0069552777	0.0453121662	-0.0300412109	-0.1380690491	0.1173541351	-0.1493520673	-0.0591571502	-0.1095190058	-0.0155042916	-0.2431535948	0.119719796	-0.0092902902	-0.0291153516	-0.1331959975	-0.1039257806	0.0778288881	0.0163382076	-0.0583872576	-0.0519716902	-0.0345754006	-0.1664088107	0.1887664963	-0.0194558517	0.1323912154	0.0980842983	0.0487060865	0.0336777962	-0.0240858123	0.1368674278	-0.0162249276	-0.153688032	0.209896849	0.0754723284	-0.0596257304	-0.0624149212	0.0755403149	0.0242861942	0.1271757971	0.0294531258	0.0118067074	0.0135852465	-0.1210430547	0.0258184782	0.0063224894	-0.044519202	0.0567166499	-0.0996413436	0.0719974815	0.0975267441	0.0814076056	-0.0389600507	0.1214189637	0.0166286422	-0.0074242169	-0.1285051044	-0.2443375023	-0.0209316736	-0.0330188545	0.1512085936	0.016164	0.0049055	2.406393025000002e-05	0.000261274896	0.055204	0.05697963	0.0032466782349369	0.003047481616	0.0416121	0.0618067999999999	0.0038200805262399	0.0017315668664099	-0.000145431	0.0	2.1150175761000003e-08	0.0	-0.000865582	0.0002996479999999	7.492321987240001e-07	8.978892390399996e-08	0.00156201	0.0	2.4398752401e-06	0.0	-0.4158716031	0.7413563326	-0.5223639901	0.3722545725	0.5625782927	-0.1682675499	-0.1645720442	-1.537794863	1.041060921	-0.8463869807	-0.03184031328	0.4554355385	-0.6661533871	-0.5268796995
