global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	aroma_motion_01	aroma_motion_03	aroma_motion_04	aroma_motion_05	aroma_motion_07	aroma_motion_08	aroma_motion_10	aroma_motion_12	aroma_motion_14	aroma_motion_18	aroma_motion_19	aroma_motion_20
68761.28873619223	n/a	4728114828.661997	n/a	113271.82361169763	n/a	12830506024.319542	n/a	66216.28804199927	n/a	4384596802.061016	n/a	73346.8943921161	73873.62602586296	n/a	n/a	n/a	n/a	-0.2092171589	0.0967578067	-0.0547637339	0.1330156667	-0.0857989127	-0.0187161395	-0.1089343967	0.242043542	-0.0139166784	0.1045430468	0.0376467407	-0.0823680391	0.1266986652	-0.0332836546	-0.093860547	0.2087918335	-0.1132679732	0.1498571242	-0.0238323241	0.1766744319	-0.1551442442	0.1032609167	-0.0820190292	0.076585157	-0.0183764175	-0.0692812993	0.1486103006	0.1032992536	-0.2101988577	0.0929220847	0.0020504887	0.1520792792	-0.1743462807	-0.1411458884	-0.0580367532	0.0093359554	-0.0820211129	0.0778659673	-0.2608816334	0.2077032078	0.0618201814	-0.0338720961	0.0521155812	-0.0645896745	0.0720550199	-0.0843385582	0.0075051209	-0.109348386	0.1001644861	-0.1175445858	0.107486347	0.0515676986	-0.0935066724	-0.2174658342	0.2219017803	-0.0224117836	-0.1873771306	0.3039742954	-0.1869345451	0.0031213665	-0.1680690475	0.0471790006	-0.0771090944	0.2048166774	-0.0585487052	-0.0648801884	0.1076372728	-0.129440739	0.0631666713	-0.0190506918	0.0400892963	-0.0818265178	0.1945138507	-0.1118743861	0.1070531557	-0.0963143995	0.1310062023	-0.024020929	-0.1925801777	0.21159476	0.1643619509	0.0611166	n/a	n/a	0.00373523879556	-0.0856997	n/a	n/a	0.00734443858009	-0.179544	n/a	n/a	0.032236047936	-0.0044247	n/a	1.957797009e-05	n/a	0.00118824	n/a	1.4119142976e-06	n/a	-0.000703589	n/a	4.95037480921e-07	n/a	1.776932675	1.401100984	-2.311997965	2.435667751	-0.2424248987	0.1212067158	0.07785696454	1.917289692	1.457198115	1.870714231	0.5949908598	-0.202042743
68911.4791396082	150.190403415967	4748791957.208656	22557.157278250917	112631.51732738598	-640.3062843116495	12685858695.46925	409992.1377289909	66353.67640488934	137.38836289006576	4402810372.444768	18875.5622576124	73351.29981256301	73181.89828074223	1.324935	27.027769	0.16161995	0.0973708	-0.1795697621	0.0270324628	0.2010080154	0.153878026	0.1136646959	-0.1150354971	-0.3414393303	0.1166500835	0.0054674962	-0.072780933	-0.0696625859	-0.12950873	-0.1804771915	-0.0666432275	0.0844809561	-0.0353174277	0.0110932956	-0.1415947797	-0.1491513772	-0.0547629828	-0.3320484442	0.0413803927	-0.0381333331	-0.0283597186	-0.0472010154	-0.1092160475	-0.1851893454	-0.0926327434	0.1177636001	0.142294311	0.1370630828	0.2627841127	-0.1997207989	-0.1134792045	-0.0872332058	-0.1441351272	-0.0759334172	-0.2618066256	-0.1893607993	-0.058271734	0.016790295	-0.0136077116	0.2660097038	0.1129514742	-0.1709639331	0.0673230558	-0.2843124796	-0.0671390266	-0.0122740183	0.0177440502	0.0287521547	0.0317172683	0.1091354579	0.0765059204	0.0560576728	-0.1465077394	-0.2013533523	0.254712321	0.1222484649	-0.1798389652	0.1361932413	-0.1945822697	-0.0942347306	0.0865431094	-0.110841977	-0.0116548333	-0.0057256537	0.0891943294	0.1700496461	-0.1191533961	0.0907234804	-0.1612697378	-0.1715827331	-0.3073615922	0.2513864802	0.1621338559	-0.3056259557	0.0806089482	0.0291989379	0.0224216393	0.1640657595	0.0610316	-8.500000000000174e-05	7.225000000000296e-09	0.00372485619856	-0.158726	-0.0730263	0.00533284049169	0.025193943076	-0.2399	-0.0603559999999999	0.0036428467359999	0.05755201	-0.00430428	0.00012042	1.85268263184e-05	1.4500976400000102e-08	0.00118824	0.0	1.4119142976e-06	0.0	-0.000260956	0.000442633	6.809803393600001e-08	1.95923972689e-07	1.921451783	-1.052799489	-1.274535718	-0.3458561734	-2.558462739	-1.350329604	1.113517328	3.350237842	-0.7580853626	0.5212353389	1.562414699	-0.494773007
68983.31500949118	71.83586988298339	4758697749.698691	5160.39220184492	113218.88887642523	587.3715490392497	12818516798.412325	345005.33662076766	66321.34903392597	-32.32737096336496	4398521337.679833	1045.0589134030115	73414.73064288615	74097.39279525369	1.2439	25.374702	0.1417577	0.0694046	-0.1168679136	-0.2101690858	0.0894031939	0.2896016476	0.018275079	-0.0051159915	-0.3628375533	0.0326693126	-0.1130974576	0.1597816188	-0.0138354631	-0.1494231831	-0.043047598	-0.1148703332	-0.0104450678	-0.0214650983	-0.2478427162	-0.0812017784	0.1521614217	0.0837363271	-0.2367974758	-0.0535918508	-0.1614385662	-0.1866726445	0.0651077528	-0.052744399	0.0982199399	0.048782454	0.0276324934	-0.1155505437	0.029696304	-0.0497602815	0.0294460176	-0.0272945524	-0.0182204704	-0.0204515117	-0.2236046605	-0.2017041376	-0.1210074325	0.1580237736	-0.0395402527	-0.0959247925	0.0460011282	0.0174044666	-0.0393131104	0.0860183925	0.1842341382	-0.2795557409	0.0202847502	-0.1804203676	-0.056276699	0.0301435441	0.0451652475	0.0157025116	0.0271599372	-0.0268437377	-0.2080925444	0.2629316178	-0.1564585784	-0.065268741	-0.1100776134	-0.0674718266	-0.1203508705	-0.171139784	-0.0257108322	-0.0796564175	-0.0132410428	-0.0222223461	-0.0075566114	0.253719142	0.0732206975	0.0219878094	0.2011512651	0.0654696517	-0.1508588989	-0.0622371456	-0.0446795348	0.2219175622	-0.3070106063	-0.2647074127	0.1634739106	0.0610144	-1.7199999999994997e-05	2.958399999998279e-10	0.00372275700736	-0.125872	0.0328539999999999	0.0010793853159999	0.015843760384	-0.217057	0.022843	0.000521802649	0.047113741249	-0.00328832	0.0010159599999999	1.08130484224e-05	1.0321747215999995e-06	0.0007471249999999	-0.000441115	5.581957656248506e-07	1.9458244322508819e-07	-0.000524751	-0.0002637949999999	2.75363612001e-07	6.958780202499996e-08	2.129366887	-1.046007888	-1.397931234	2.273678046	-0.3898502769	1.311829657	-0.8937692323	2.828195751	2.381553217	0.7606644526	-0.4907047354	-0.4872062723
68823.85714177984	-159.4578677113459	4736723311.87212	25426.811575049087	113977.24250422296	758.3536277977255	12990811808.86645	575100.2247939712	66502.3126389015	180.96360497552087	4422557586.322197	32747.82632573636	73700.95774179547	74410.28160130272	1.269385	25.894575	0.0211344499999999	0.0122305	-0.1972220973	-0.0167133157	-0.074914564	0.1703406344	-0.2124002643	-0.0299409205	-0.1789096939	0.1832258234	-0.2401595397	-0.0468360303	-0.1878177367	-0.1350068046	-0.1510322686	-0.1987679701	-0.2541243674	-0.0328890952	-0.1476049861	-0.0749942326	0.1245907935	0.2605722614	0.0608543085	0.0717532399	0.0214636965	-0.1806048342	-0.068213621	-0.0631025379	0.1322272991	-0.1205409319	-0.0679260301	0.0005814955	0.2004373492	0.0545432463	-0.0245345142	0.1507721701	-0.1377656346	0.1599734507	-0.1097640662	-0.1428453581	-0.2672261413	-0.1724727263	0.082484361	-0.2929080421	0.0572053416	-0.0562103894	0.1209510421	0.0047599495	0.1013607963	-0.0442980595	0.2012426711	-0.1199723567	-0.0316778736	-0.2067286185	-0.0556705186	0.0896768665	-0.0403341647	-0.0538115662	-0.1693379689	0.2157892821	0.2214870689	-0.1817509774	-0.0114535539	-0.0735909598	-0.1149051777	0.1107921938	0.0310390728	0.0213090757	-0.0731544508	-0.0822424004	0.0163803333	-0.0961384043	0.1074763922	-0.0369643619	-0.0363628046	-0.0965297687	-0.1285387688	0.2432170314	0.1789917536	-0.1163587619	0.0746174226	-0.0270451837	0.1625874706	0.0505359	-0.0104785	0.00010979896225	0.00255387718881	-0.127294	-0.0014219999999999	2.02208399999994e-06	0.0162037624359999	-0.217066	-9.000000000009e-06	8.100000000016202e-11	0.047117648356	-0.00336061	-7.229000000000003e-05	1.12936995721e-05	5.225844100000004e-09	0.0007471249999999	0.0	5.581957656248506e-07	0.0	-0.000412542	0.0001122089999999	1.70190901764e-07	1.2590859680999989e-08	1.786274517	1.005810238	-1.965919909	-1.206673657	-2.131320914	1.255064937	-0.3581414478	2.410028571	-0.2031829569	2.279133592	-0.2362948688	0.2898662185
68796.3035992098	-27.55354257003637	4732931388.914647	759.1977081588064	112931.6452306799	-1045.597273543055	12753556494.508146	1093273.6584406702	66244.5073107538	-257.8053281476896	4388334748.844514	66463.5872213379	73508.39568194865	74905.63039382511	1.252732	25.55488	0.21770945	0.106019	-0.1067404291	-0.002525626	0.1385721943	0.2083308626	-0.0025422188	-0.0888999813	-0.092658814	0.0692238286	-0.2517462917	0.2399297835	0.1756029905	-0.2484308768	-0.1871994942	0.0764526424	-0.0349744685	0.2340368888	0.0566661061	-0.0967559576	-0.1281350801	-0.0241448619	-0.1190179682	-0.1823256569	0.0733359227	-0.023731789	-0.0257678733	0.014145456	-0.1193343061	0.1692414663	0.0818318493	0.0665466782	-0.0426653503	-0.123317149	0.179983295	-0.0203057943	-0.077989951	-0.1637473723	-0.2227175255	0.0036994147	-0.1752321912	-0.0536970785	-0.0917335141	0.2498358036	-0.1083957955	0.0318082025	0.1890185048	-0.0863949082	0.068781782	-0.0595138235	-0.198288949	0.0918184545	0.1964563886	0.1264195881	-0.0670203939	0.1110206408	-0.1395903376	0.1534896479	-0.1513599791	0.1977988292	-0.1838516605	0.0866033906	0.0482526599	-0.0562156056	-0.0714696413	-0.2153723879	-0.0047318259	0.0592699307	0.002783231	-0.0297292527	0.1154766266	0.07265955	0.0520260613	0.0781891206	-0.0817300328	0.311404992	-0.052908833	-0.0886338267	0.1890456261	-0.0924823212	0.2275729893	-0.0431626886	0.161408037	0.0610285	0.0104925999999999	0.0001100946547599	0.00372447781225	-0.0735919	0.0537020999999999	0.0028839155444099	0.00541576774561	-0.145103	0.071963	0.005178673369	0.021054880609	-0.00236152	0.0009990899999999	5.576776710400001e-06	9.981808280999996e-07	0.00137907	0.0006319450000001	1.9018340649e-06	3.9935448302512643e-07	-0.000412542	0.0	1.70190901764e-07	0.0	2.047207351	0.3401878074	-1.046773182	2.440865555	0.04815053807	0.2156896553	1.128919349	1.298701638	0.9656501206	1.839633937	-1.917298962	-2.27042851
68545.48389151013	-250.81970769967305	4698483361.921274	62910.525770549415	113911.5735325169	979.9283018369896	12975846584.654003	960259.4767411264	66267.74038178066	23.233071026857942	4391413415.307083	539.7755893390259	73478.0011576991	73294.92572102668	1.306027	26.642048	0.0924822499999999	0.0494147	-0.1459809777	-0.1126643847	-0.1305769689	0.1070763331	-0.2520637538	-0.0152951675	-0.0712748949	-0.0343750333	-0.2262280936	0.0346687463	-0.0937360748	-0.0495017325	0.0419095467	-0.0538132007	0.0618492282	0.0744936245	-0.1790610523	-0.1957633614	0.1050113467	0.0433115626	0.0264293198	0.0925350364	0.2206580735	0.0736411297	0.013235061	0.0624949011	0.119639078	0.0392402664	-0.0990684927	-0.0634294663	-0.1195484599	-0.1066006914	0.0956873926	-0.3286761405	-0.0816069826	0.1972670853	-0.1203879364	-0.0146051237	-0.056021254	0.0825337149	-0.0441269448	-0.1369037831	0.1653820275	-0.0323638322	0.2584009116	0.1406062237	-0.1438763547	0.1368504891	0.0778997343	-0.0607428457	0.044479202	-0.1270077606	0.0300527709	-0.2166744299	0.0211775033	0.2523991413	-0.1578676469	0.14929233	0.1582612795	-0.1702753502	-0.028883797	0.1464973344	-0.1399432237	0.0707112369	-0.0064194376	-0.0091810326	0.0354579638	-0.0928621225	-0.1239641093	-0.1097960777	-0.152714303	0.0654822137	-0.0425245686	0.1028314517	-0.0800209521	0.1123432852	0.1985916243	-0.0485074396	0.0813743967	-0.0354982175	0.1599377353	0.0609224	-0.0001060999999999	1.1257209999999549e-08	0.00371153882176	-0.103544	-0.0299520999999999	0.0008971282944099	0.010721359936	-0.175418	-0.0303149999999999	0.0009189992249999	0.0307714747239999	-0.00250835	-0.0001468299999999	6.291819722499999e-06	2.1559048899999916e-08	0.000883719	-0.000495351	7.80959270961e-07	2.45372613201e-07	-0.000412542	0.0	1.70190901764e-07	0.0	1.575217741	-0.2587443026	-2.367058348	-0.9403910893	-0.6450277319	1.779847261	-0.3741970043	1.985608539	0.03955773442	0.1644200192	-0.122312846	0.8040649372
68665.61029215303	120.12640064289737	4714966036.793832	14430.352131417889	112607.96981894004	-1303.6037135768563	12680554866.74331	1699382.642051371	66122.00659356857	-145.7337882120919	4372119755.959926	21238.337026646856	73427.60752075633	74310.48653964465	1.324758	27.024164	0.0630289999999999	0.0358658	-0.1191566507	0.1430938231	0.0494020954	0.1414976685	0.0271376017	-0.165034515	0.0188649622	0.085657044	-0.1148035458	0.0895598233	0.0746188885	-0.1732847144	0.2116620099	-0.0158536311	-0.0380660606	0.2619643757	0.1136683427	-0.1094951557	0.0515321932	-0.188743294	-0.2018272974	0.1605653515	0.1348769724	0.2294184008	0.1094605585	0.0908206358	0.0429466801	-0.2445169204	0.0335202624	-0.0963123718	-0.1091260599	0.003486181	0.1095320503	0.1554548676	-0.1900626745	-0.1421436193	0.0405573601	0.0945790536	-0.1763494447	0.1714351972	-0.2490863969	0.1251774126	-0.0524346548	-0.0875841014	0.1144745214	0.0363170824	-0.0754139093	0.1309011341	-0.2678848929	-0.0749084503	0.0016896933	-0.1993195762	-0.1418875676	0.0460025798	0.0731399188	-0.097489493	-0.1801306416	0.1543940736	-0.0204176809	0.261366846	0.1261717918	-0.0353546789	-0.059843638	-0.0991196381	-0.1744960205	0.1555834396	0.0846772291	0.1509050635	-0.0196609198	0.182019443	-0.1650821542	0.021596133	-0.1610266088	0.2531773402	0.010873037	-0.1716546231	-0.2024137107	-0.1335373668	0.2742767746	0.1250624495	0.1581792149	0.0438628	-0.0170596	0.00029102995216	0.00192394522384	-0.0964962	0.0070477999999999	4.96714848399999e-05	0.00931151661444	-0.180803	-0.005385	2.8998225000000008e-05	0.0326897248089999	-0.00192297	0.0005853799999999	3.6978136209e-06	3.426697444e-07	0.0008837199999999	9.999998999438847e-10	7.809610383998232e-07	9.999997998877795e-19	-0.000327191	8.5351e-05	1.07053950481e-07	7.284793201000001e-09	2.058000633	1.306348325	-0.6581587669	2.136408622	-0.1127630521	-0.7861065757	1.812341914	0.6703529428	-0.08516697844	0.5292705749	-0.8313153246	-1.114565292
68623.50724092583	-42.10305122719728	4709185746.0454	1772.6669226399988	113656.225995038	1048.2561760979588	12917737707.43515	1098841.0107275147	66261.84104567308	139.83445210450736	4390631578.762046	19553.673995367764	73256.24679641997	72998.83234771766	1.552713	31.674288	0.28008436	0.172135	-0.0111837878	-0.2348524276	-0.0399291431	0.0553836864	-0.0559428737	0.1930803628	-0.0191897313	-0.0452590119	0.2162200987	0.0142892181	0.0472827496	0.0400722059	-0.0254749011	0.1114370937	-0.1221347348	-0.2020353583	0.0973620234	0.086888016	0.0180453682	-0.0378941895	0.0433591566	-0.1793958004	0.1844987573	-0.1089450241	0.0926325977	-0.0907346626	0.074287224	-0.1007322947	0.1991554749	0.0158001266	0.0975322141	0.0721704268	-0.0312529034	0.069428452	0.1501077205	0.0534053528	-0.1292379134	-0.039398826	0.1310981983	0.0697917687	0.145632987	-0.1097704464	0.0808441004	-0.116461007	-0.0831794937	-0.2732379714	-0.0922779091	0.0254735088	-0.1790693031	0.0638677827	0.0939696712	-0.1638190599	0.0183418373	0.0843503767	-0.0539403373	-0.1009591977	-0.0226850561	0.0290600619	-0.0371291966	-0.2145915389	-0.0552470733	0.2929677564	0.0363915214	-0.0260477728	0.0989088782	-0.2406115853	0.1094088527	0.1092135934	-0.2107128268	-0.2783313953	-0.0740037844	0.0212175721	0.0232572903	0.0416285082	-0.0929845859	-0.247582762	-0.2173989775	0.105030123	0.009443851	-0.0216937401	0.1561356449	0.00411309	-0.03974971	0.0015800394450841	1.6917509348099997e-05	-0.0799480999999999	0.0165481000000001	0.00027383961361	0.0063916986936099	-0.0281929	0.1526101	0.02328984262201	0.00079483961041	-0.00201771	-9.473999999999984e-05	4.071153644099999e-06	8.97566759999997e-09	-0.000359717	-0.0012434369999999	1.29396320089e-07	1.5461355729687511e-06	-0.000412543	-8.535200000000002e-05	1.7019172684900005e-07	7.284963904000003e-09	0.7788210245	-1.785203016	-2.618725022	0.1082446022	1.037665351	0.9915959558	-0.5274586327	0.6639818306	-0.350566323	-1.009677936	2.713267927	-0.01391073455
68768.2577833814	144.75054245557112	4729073278.561597	20952.719541182098	112667.30752480996	-988.9184702280328	12693922184.8901	977959.7407581524	66298.11725269866	36.27620702558488	4395440351.25258	1315.963196163094	73378.10083007812	74014.35191055537	1.414522	28.855288	0.1348461	0.102797	-0.0404016449	0.1255672208	-0.1301145759	0.0949818862	-0.0328880058	-0.1026275271	-0.0066646898	0.1177443491	-0.0309749814	-0.0265293635	-0.0546690499	-0.1570250919	-0.0574329574	-0.0732512366	0.0985865687	0.0229888391	0.0232652802	-0.169787382	-0.0771834655	-0.0400892251	0.0831167857	-0.0123430563	0.0027740221	0.1268077286	0.2752584131	-0.2312254476	0.100421062	-0.1929545652	0.0581517692	-0.0303954886	-0.0344500176	-0.3092547908	-0.2403319637	0.1156356064	-0.1038585303	0.0199720032	0.0192418636	-0.0177351643	-0.1593666165	0.0635477412	-0.0208597035	0.0738491179	0.0972954309	0.110983951	-0.1335918668	-0.0574823334	-0.2583240983	0.0561715829	-0.1435203191	-0.0359101321	-0.3526595405	-0.0314032748	-0.0025529821	0.0868705038	-0.2245177255	-0.0469603207	-0.0794589432	0.009167851	0.1857824267	0.2263858919	-0.1144064242	-0.0416690882	0.1445929449	-0.0507107962	0.0122050065	-0.0156627917	-0.1235682777	0.1574338122	-0.0435922159	0.0133154054	-0.1679026995	-0.0275254492	-0.1181832836	-0.0607508888	0.0241162815	-0.1844973644	-0.1959231065	-0.1695639074	-0.1381520947	0.0282105227	0.1538107079	0.00411309	0.0	0.0	1.6917509348099997e-05	-0.0800106	-6.250000000010414e-05	3.906250000013017e-09	0.00640169611236	-0.116611	-0.0884181	0.00781776040761	0.013598125321	-0.0010904	0.0009273099999999	1.1889721600000002e-06	8.599038360999996e-07	-0.000359717	0.0	1.29396320089e-07	0.0	-0.000412543	0.0	1.7019172684900005e-07	0.0	1.669503775	1.518189716	0.3763054084	0.05084698042	-0.175577865	-0.7467746524	-0.2380379504	0.4928641095	0.1596502461	-1.170355945	1.336216922	-0.7286081443
68654.18126247346	-114.07652090794	4713396604.820561	13013.45262245967	113128.77433488176	461.4668100717972	12798119582.512602	212951.61679784016	66363.32947999818	65.21222729951842	4404091499.670795	4252.634589364056	73352.81474583123	70295.60483064847	1.299116	26.501078	0.2207943708	0.152626	0.0686963325	0.034773757	0.1408185089	0.068875406	0.0907524929	0.1162280732	0.0076009212	0.0771531885	0.1399834703	-0.0074646176	0.0220409774	0.0136683343	-0.1835046437	0.2264841977	-0.1362718674	-0.0001270129	-0.0346382802	0.1774064607	-0.0153871186	0.1034605467	-0.022976033	-0.0905855432	-0.2721746539	0.0508516212	-0.1051412882	-0.1825581944	-0.1944741223	-0.0762202713	-0.0733405714	-0.2041463165	0.0159961316	-0.0154680331	0.0246587718	0.0349052764	0.128835856	-0.0281749566	-0.0366962617	-0.0700240555	-0.0338580929	-0.106404086	0.2772199743	0.1046471909	-0.152869534	-0.0733124171	0.0476159102	-0.089626111	0.1063722136	-0.1258496074	0.0509994399	-0.1089366147	-0.1297628986	-0.0010418219	-0.0016846971	-0.2373759489	-0.123836198	0.0412286113	0.0592914472	-0.0098366018	-0.2800777328	-0.0535936934	0.1244460937	0.2076109187	-0.0360723378	0.0851464717	0.1283823719	-0.1173500144	-0.0844547545	0.2056744317	-0.150567034	0.0461704723	-0.2960872933	0.0894712958	0.143900533	-0.1917866186	-0.1346653274	-0.0426987171	0.092584442	-0.1201457288	-0.0009966959	0.0147223946	0.1512085936	-2.68808e-05	-0.0041399708	1.713935822485264e-05	7.225774086399998e-10	-0.0130783	0.0669323	0.00447993278329	0.00017104193089	0.0201678	0.1367788	0.01870844012944	0.0004067401568399	-0.00107107	1.933000000000013e-05	1.1471909448999998e-06	3.736489000000049e-10	-0.000307889	5.182800000000002e-05	9.4795636321e-08	2.6861415840000022e-09	-0.000224835	0.000187708	5.0550777225e-08	3.5234293264000013e-08	0.6417522095	-0.4842184771	-2.059429878	1.011037687	1.951576912	-0.04122583958	1.157706922	0.8565006567	1.517240835	-0.7779383832	1.243015193	-0.3532754901
