global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	aroma_motion_04	aroma_motion_05	aroma_motion_07	aroma_motion_11	aroma_motion_12	aroma_motion_13	aroma_motion_14	aroma_motion_16
72234.14544615759	n/a	n/a	5217771768.33665	108385.00344460228	n/a	11747308971.686447	n/a	74022.88512275135	n/a	5479387521.896044	n/a	77526.22567649411	49667.65299545654	n/a	n/a	n/a	n/a	-0.0024835823	0.2275350946	0.001510103	0.0537682895	-0.0009233621	0.1760372294	-0.1616517616	0.081429219	-0.0580983759	0.0939423316	-0.1198310252	0.0465918022	-0.043601857	0.1448119606	-0.1100189354	-0.2357225256	0.2773875858	-0.0856267895	0.1210799054	-0.1108405527	0.0816507282	-0.2158828706	0.0024744841	-0.0764704496	0.0472082669	0.0313892449	-0.0614580341	0.0281460896	-0.0710095704	0.0274926284	0.0403153588	0.0539950228	-0.1607299624	-0.1049582025	0.0786351385	0.0684059094	0.2046930006	-0.1038737757	0.0334767921	-0.0889029217	0.0612323066	-0.3404018447	0.0724732577	0.1475469359	-0.1120171368	0.0532425247	-0.082657778	0.1980890119	-0.0445036512	0.0648467096	-0.0960679008	0.1484726025	-0.0274531043	0.0445171181	-0.0845987231	-0.0712663296	0.1686065668	0.0053122621	-0.0485053043	-0.0273961774	-0.0409915279	0.1731271184	0.0918492143	-0.2660847638	-0.007257679	0.0035450048	-0.2179915364	0.1199748437	-0.1896742734	0.0310396083	-0.0979297392	-0.0218123154	0.1982624435	-0.1825067896	0.0516953388	-0.1532532165	0.0543698959	-0.0495406794	0.0915772994	-0.0096667095	0.027024659	-0.0205527149	-0.1246925253	0.1107762661	-0.0433292329	-0.1670853692	0.009193506	0.1643619509	-0.0986353	n/a	0.00972892240609	n/a	-0.0203723	n/a	n/a	0.0004150306072899	0.0396763	n/a	0.0015742087816899	n/a	-7.92455e-05	n/a	n/a	6.27984927025e-09	0.00140935	n/a	n/a	1.9862674225e-06	-0.000858479	n/a	7.36986193441e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.635076026	0.4055223987	-0.1119170137	-0.3841719232	-1.069096668	0.8092931054	-0.9103568787	0.1580388979
72307.98777269665	73.84232653905929	5452.68918870106	5228445095.736448	107481.74085434424	-903.262590258033	11552324617.080412	815883.3069596513	74105.58607611508	82.70095336373197	5491637887.684502	6839.44768727017	77512.43810491817	42889.32483362268	1.689415	36.101643	0.16577096	0.0944859	0.081026556	0.1387630869	-0.0888904256	-0.1720717022	0.0414934593	0.1987738387	-0.1178863256	-0.1365509843	0.1312002925	0.1013576829	0.0110851402	-0.1027832732	-0.0492201358	0.0485461893	-0.3201376927	-0.0045116564	0.0193259397	-0.1479481377	0.0890654235	0.0166216728	-0.0666227868	-0.0086880573	-0.0104801282	-0.014776987	-0.0095995745	-0.0636704041	0.0517066442	-0.0451933644	0.0785768516	0.0531174241	0.0174468601	-0.0285131465	-0.009107611	-0.0326437788	-0.0147134312	-0.1849359529	0.1388230904	0.084005454	0.0735573174	0.0866635849	-0.2525520842	-0.2105471268	-0.0932909677	-0.0832424791	-0.0117813621	0.0835029806	-0.1088438817	-0.022521514	0.0076947365	0.0167745402	-0.082084003	0.0793904222	0.0551656048	-0.0134142962	-0.0054867734	0.0403985459	0.0291677677	-0.0923712733	-0.0890871004	-0.0586719341	0.0725694908	0.168720082	0.036495257	-0.2248371147	0.2541490242	-0.0336350837	-0.2214593294	0.0943753166	-0.1225395179	-0.0415465348	0.1044210111	-0.0263452842	-0.0255075726	0.0905803476	0.1051921878	-0.0240209905	-0.0754791862	0.0300590423	0.1044859958	-0.1697568002	-0.1119228906	-0.1481651354	-0.274058536	-0.0090985927	0.1760970558	-0.05861541	-0.0766834255	0.1640657595	-0.0711101	0.0275252	0.0050566463220099	0.00075763663504	-0.0912488	-0.0708765	0.00502347825225	0.00832634350144	0.097291	0.0576147	0.009465538681	0.00331945365609	5.23157e-05	0.0001315612	1.7308349345439998e-08	2.7369324664899997e-09	0.00147288	6.353000000000001e-05	4.036060900000001e-09	2.1693754944e-06	-0.000858479	0.0	7.36986193441e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6763316098	-1.704124412	-1.160754456	-2.033759318	0.2023018665	-0.525865826	-1.618575133	-0.9563050082
72372.48505729891	64.49728460225742	4159.899721064592	5237776593.368954	108194.86361120976	713.1227568655158	11706128511.848282	508544.0663594736	74048.64410770392	-56.94196841116354	5483201694.189394	3242.387766537947	77545.70487745154	43851.89624289386	0.8931599999999998	19.086222	0.143122215	0.0708091	0.0621776243	0.108144274	-0.0831761331	0.00355972	-0.1200292235	0.1687898976	-0.1196762529	0.0969280532	0.167140331	0.0516301676	0.0993580422	0.0959016752	0.0449243016	0.0629773616	-0.1517497414	-0.0031949198	0.0990135675	0.0049364866	-0.1760778982	0.0126586501	0.0019672809	-0.04521927	-0.0432824658	-0.1769626188	-0.0055900921	0.0227035324	0.1314764944	0.0110847371	0.153304789	0.1060590019	0.1040459519	-0.0265237556	-0.0387867296	0.1750671286	0.1002684432	0.1053846955	0.0923568805	-0.0428713384	-0.0492871273	0.0355464496	-0.0087396167	-0.125495709	-0.0778482726	0.1064880528	-0.2272621162	-0.0163213452	-0.0117950128	-0.1196740356	-0.0489748365	0.0738756902	0.0354507748	0.1945319427	-0.0710683304	-0.0853720399	-0.0949472988	0.023978059	-0.0315418231	-0.1297099905	-0.1516031756	-0.151721143	-0.0695882955	-0.1091405428	0.0949401887	-0.1651482112	0.1270381483	-0.0272290532	-0.0985967132	0.0907210045	-0.1783443005	0.1970489289	-0.0943851273	-0.1044120957	0.1585565154	-0.1153053726	-0.0843703151	-0.0254481544	-0.2143795571	-0.0559888285	0.1174075164	-0.0177624537	0.0685612915	-0.0659902574	0.006970449	-0.1119318648	0.0919790214	-0.0448817461	-0.0886949001	0.1634739106	-0.0582218	0.0128882999999999	0.00338977799524	0.0001661082768899	-0.069791	0.0214578	0.0004604371808399	0.004870783681	0.0466285	-0.0506625	0.00217421701225	0.00256668890625	0.00040995	0.0003576343	1.2790229253649e-07	1.6805900250000005e-07	0.0007986809999999	-0.0006741990000001	4.545442916011348e-07	6.378913397608402e-07	-0.000988918	-0.000130439	9.779588107240002e-07	1.7014332721000026e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4673766492	0.3379523897	0.1799818477	-0.6936780726	-1.096150122	-0.3465819492	-1.67943645	-0.2408294811
72408.41950288479	35.934445585880894	1291.284379564635	5242979214.905746	107924.20091885651	-270.6626923532458	11647633143.97371	73258.29303190779	74149.99020260904	101.3460949051223	5498221047.047017	10271.030952518056	77572.40797419788	43671.47158155254	0.892348	19.068855	0.0720666	0.0365297	0.0659570149	0.0971942164	-0.0195938977	-0.0383906943	0.1031457838	0.1578575215	-0.0345531538	0.0003305126	0.160006136	0.19418947	-0.0900887042	0.0275774655	-0.1016915325	0.0548814945	-0.1463591814	-0.0470377787	0.0386601344	-0.0477026226	-0.0163995557	0.0066766006	-0.0341172117	0.1195978275	-0.0274255157	-0.0254114899	0.1237839531	0.167317524	0.0477951933	0.021541498	-0.1319121684	-0.0370657433	0.1459585222	0.1246505006	-0.0435097117	-0.1105871822	0.1044210985	0.0969460915	-0.2398295514	-0.107681333	0.0988320492	0.0224825465	-0.1204126939	-0.1115324279	0.0253632715	-0.0614764859	-0.0832160363	0.0196213213	0.0142388065	-0.0136438623	-0.0244101483	0.0231911488	0.0364078711	-0.0777642552	-0.2401446626	-0.0685559894	0.0170502101	0.0534059518	0.0126190212	-0.0505812866	0.1402840365	-0.0139091117	0.1127270235	0.0187225957	0.1257847032	-0.1320708638	0.0722368868	-0.0724388453	-0.1398926103	0.0634975404	-0.1802965379	0.01433102	0.092984614	-0.1111661934	-0.1280533735	0.0960330865	0.2305808938	0.0143801433	-0.1122167711	0.1234015894	-0.1348823252	0.1197629635	-0.1488452756	0.1137813808	0.0190331972	0.1606207638	-0.0884075142	-0.165224239	0.021456769	0.1625874706	-0.0582347	-1.2900000000003188e-05	0.00339128028409	1.6641000000008222e-10	-0.0397212	0.0300698	0.00090419287204	0.00157777372944	0.0365686	-0.0100599	0.00133726250596	0.00010120158801	1.05879e-22	-0.00040995	1.6805900250000005e-07	1.1210362640999999e-44	0.00070059	-9.809099999990006e-05	9.621844280980391e-09	4.908263481e-07	-0.000858479	0.000130439	7.36986193441e-07	1.7014332721000026e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2487711725	-0.6867436063	0.6054596698	-0.6354541549	0.4890463054	-1.124451786	-1.643785381	-1.30916584
72794.08619796537	385.6666950805811	148738.79969437793	5298978985.396812	108861.06726444128	936.8663455847708	11850731965.953209	877718.5494893633	74078.06050163257	-71.92970097647049	5487559047.683536	5173.881882564459	77600.58753854089	48409.72982089972	1.419854	30.341297	0.0765083099999999	0.0377575	0.0349191699	0.0177544572	-0.023840923	-0.0247404307	-0.1003796282	-0.1244624812	0.0562811615	0.0528628116	0.1341686983	-0.0943709508	-0.0301071049	-0.0406455645	0.0655716208	0.0077748644	-0.0520176385	0.0578792324	0.1110620851	-0.0341930472	-0.0303832075	-0.0559466515	0.1847976482	0.0612942853	-0.0010994924	-0.046580018	0.0684782073	0.0552778965	0.0570696603	0.1671228475	0.2222626043	-0.0130013329	-0.0099287946	0.0883079717	0.0863406504	0.0938584763	-0.1193418702	-0.0918510213	0.194858741	-0.0452310282	-0.0783130817	0.0217016276	0.0308944594	-0.0466380514	-0.1321520661	0.0510224767	-0.1031107814	-0.0145240597	-0.0607514924	0.094478632	-0.0361329794	0.088591964	0.278945925	0.1442434908	-0.0745369144	-0.1744845239	-0.1196926443	0.1213727449	-0.0133046527	0.0929787972	-0.0613755005	-0.084242714	-0.092638117	-0.0004499147	-0.0965900415	-0.1116007664	0.0444345298	-0.0369161533	0.0877595258	0.1308760322	-0.1314778241	0.0647169568	0.003686478	0.0867253332	0.1340503792	-0.1798113536	-0.0381254985	0.2615010054	0.0998156332	0.2331923824	0.0450177437	0.0650230543	-0.0602293116	0.0426912267	0.1742816506	0.0747507451	-0.1091657346	0.0601426904	-0.0266613553	0.161408037	-0.0439431	0.0142916	0.00193099603761	0.00020424983056	-0.057302	-0.0175808	0.00030908452864	0.003283519204	0.00999249	-0.02657611	9.98498564001e-05	0.0007062896227321	0.000163535	0.000163535	2.6743696225e-08	2.6743696225e-08	0.000502929	-0.0001976609999999	3.906987092099997e-08	2.5293757904100004e-07	-0.000858479	0.0	7.36986193441e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.294706992	-0.9107874603	0.09025741244	0.03497487861	-0.6557443752	-0.1480762555	-0.9504605789	1.449953058
72647.27063316845	-146.81556479692517	21554.810066640133	5277625930.448818	108836.86405954072	-24.203204900564742	11845462978.314947	585.7951274587211	74084.11953818075	6.059036548176664	5488456767.747455	36.71192389214058	77547.59681008902	44954.71213559751	1.359832	29.058681	0.06802481	0.0335531	0.0545323842	-0.0414295289	0.0308980324	0.0021989003	0.1467045931	-0.0223854843	0.0799587321	0.0728931635	0.1575084508	0.1175683918	-0.1149868879	0.0585198043	-0.0121318551	0.0330893449	-0.1120906969	0.0703216494	-0.0569828753	0.0965076327	-0.2042186512	-0.0815089137	0.060258723	0.0598237518	-0.0704798185	0.1889347689	-0.170645889	0.0111608397	-0.003090029	0.1881217228	0.0715168804	0.2115344888	0.008950738	0.0075512999	-0.0122232364	0.093154264	0.0430961215	0.0096623486	-0.174039095	-0.1999226848	0.0071888969	0.0830011038	-0.1001876959	0.0195794344	-0.0178217211	-0.0837292316	-0.1155250847	-0.0773104313	0.2092540028	-0.1701432304	-0.0049282992	-0.002222922	0.1840225261	-0.1039145253	0.088669335	-0.0476599841	-0.1919411399	-0.0244591925	0.0676998579	0.1555696254	-0.1043847244	-0.0108436	0.0666987866	-0.0829858792	-0.0065361098	-0.0849532385	0.0632753746	-0.0077905607	0.0081648566	0.104855542	-0.0190651793	0.1045358693	0.0912005746	-0.1799249756	-0.0340182082	0.0304748328	0.067320003	-0.0065076525	-0.0436429801	-0.06594435	-0.0830266878	0.036868403	0.1054011067	0.1977763766	-0.0473964578	-0.0049632821	-0.036235265	0.1236730599	0.0077953753	0.1599377353	-0.0313132	0.0126299	0.00098051649424	0.0001595143740099	-0.061509	-0.004207	1.7698849000000022e-05	0.003783357081	0.0365776	0.02658511	0.00133792082176	0.0007067680737121	0.000358931	0.000195396	3.8179596816e-08	1.28831462761e-07	0.000454568	-4.836100000000008e-05	2.3387863210000073e-09	2.06632066624e-07	-0.00061018	0.000248299	3.723196324e-07	6.1652393401e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1435392573	-0.6107200939	0.2630213506	0.2938508281	1.275365026	0.100470697	-1.389774416	-1.103646457
72692.75390331548	45.48327014702954	2068.727863267669	5284236470.047987	108219.6612800367	-617.2027795040194	11711495087.565874	380939.2710274872	74027.79621272795	-56.32332545280224	5480114612.113178	3172.31699006228	77468.2771930638	44581.68540093582	0.8998589999999999	19.229376	0.10056815	0.0553355	0.0708363679	-0.0906003326	-0.0654366092	-0.0389445566	-0.1038364448	-0.0783477332	0.0741348438	0.0567112662	0.0208510924	-0.0429703027	0.0419839509	-0.0647456774	0.0854159333	0.0534839829	-0.0482322772	-0.0512722722	-0.1124192944	0.2542759595	-0.0290164738	-0.1676570607	0.0900188499	0.2465318715	0.0147530308	0.1986788111	0.2242951714	0.1560073349	0.0024955407	-0.0810355702	0.0799901827	-0.0975406988	0.1564577982	0.0790132573	-0.0267238023	0.0159162661	0.0395817305	0.0581942689	-0.1345261821	0.0610866582	-0.0884899059	0.1040271806	0.0324767692	-0.0694931586	-0.1048355152	-0.0286758744	0.0445045153	-0.2394187387	0.1738475516	0.1539691599	-0.0594136882	-0.0133725183	0.2243027335	-0.1621952008	-0.233049746	0.0332474386	0.0959324456	0.0766436563	-0.2380469863	-0.0707939978	-0.0459168599	0.0092365301	0.0080577013	0.1255742153	0.1096020188	-0.0444682994	0.0467944996	0.0779484816	0.0195396674	0.0268321701	-0.0834133934	0.0997962462	0.160905327	0.1410953739	0.0781041864	-0.2174888391	-0.0936800197	-0.0042383026	0.1344395876	0.1774737939	-0.1001212913	0.0384732774	0.0886561216	0.0763899582	0.1092470795	-0.0250366025	0.1325841693	0.0966641669	0.0872020913	0.1581792149	-0.0229573	0.0083559	0.00052703762329	6.982106480999999e-05	-0.0205015	0.0410075	0.00168161505625	0.00042031150225	0.0344184	-0.0021592	0.00118462625856	4.66214464e-06	-0.000419299	-0.00077823	6.056419329e-07	1.75811651401e-07	0.000400631	-5.3937e-05	2.9091999689999993e-09	1.60505198161e-07	-0.000461436	0.0001487439999999	2.1292318209600002e-07	2.212477753599999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7278594508	-1.418391267	0.3983196678	-0.3802337709	-0.3705372942	0.4255493679	-0.08283251555	0.7412570165
72787.01663014501	94.26272682953277	8885.461669339116	5297949789.917006	108461.96825210108	242.30697206438344	11763998557.119783	58712.6687110099	73966.39398641573	-61.40222631221695	5471027439.353677	3770.233396096708	77397.88711719909	45237.48051396123	0.906968	19.381281	0.1371348	0.064453	0.0575428585	-0.1079236162	0.0565408205	-0.1224402668	0.1787417899	-0.0755355204	0.1656490655	-0.0899915222	0.0080500999	0.1693464618	-0.0258036355	0.0278465983	0.2174791376	0.0106409343	-0.1181837133	0.1280578645	-0.0088943369	0.1114477956	0.0318414802	-0.008670031	-0.0417723682	0.1137439459	0.1156647677	0.0892276569	-0.098354125	-0.1092236812	0.0675650642	-0.1733594843	-0.2031193776	0.1183066552	0.0800217063	-0.0426961437	-0.2040536829	-0.0113090367	-0.2251779528	0.1370996479	0.1690528449	0.0139393659	-0.184613317	0.1523100433	-0.2097366753	0.0764351017	-0.0201735252	-0.093383857	-0.0754686191	0.0288156972	0.1123283573	0.0467504086	-0.0196935107	-0.0812276773	-0.0519967952	-0.1617156465	0.1296004823	0.1553012678	0.0114572619	0.1127443283	0.106968869	-0.2072337065	-0.1362606573	-0.0138547724	-0.240361698	0.0085681821	0.0240126487	-0.0407872304	0.1331232949	0.0496559635	0.0691428693	0.145395204	0.109859735	0.039145843	0.1854545279	-0.1339987826	-0.0543899359	0.0613575214	0.1971084463	-0.0592411496	-0.0514763413	-0.0720020386	0.0207540471	-0.0061361767	0.1373939373	0.0577713503	0.1163610216	-0.0650831397	-0.0365213568	0.0803536711	0.0284979948	0.1561356449	-0.0155113	0.0074459999999999	0.00024060042769	5.5442916e-05	-0.0718935	-0.051392	0.002641137664	0.00516867534225	0.0618703	0.0274519	0.00382793402209	0.00075360681361	0.00021273	0.000632029	3.99460656841e-07	4.52540529e-08	0.0007332089999999	0.0003325779999999	1.106081260839335e-07	5.375954376808534e-07	-0.000409145	5.2291000000000045e-05	1.67399631025e-07	2.7343486810000044e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1480346957	-1.247259613	-0.4160544166	0.06168120419	1.847019229	0.6248363503	-0.1800331224	-0.9228258117
72819.72086415938	32.7042340143671	1069.5669224664862	5302711746.734088	108809.7349638968	347.7667117957172	11839558422.913464	120941.68583320538	74055.09504181556	88.70105539982615	5484157101.652335	7867.877229043027	77541.6513918189	45048.9950501685	0.893189	19.086845	0.1316588	0.0755121	0.0667907832	-0.1241905754	-0.0241661473	0.0032127739	-0.1037987951	-0.1463715029	0.0720753759	0.0990383691	-0.0388952993	-0.1413507444	0.0379867207	-0.0552268117	0.155329589	-0.1627025494	-0.1160517686	0.1421029015	-0.0687501467	0.104118732	0.1766962502	0.1328959486	0.0059403303	-0.2688154238	0.0007619281	-0.0920853461	-0.1116126273	0.1476820876	-0.1106583639	-0.2551724886	0.010967111	-0.068085921	-0.0451319628	-0.1029426889	-0.0593867382	0.2022208876	0.0543002242	-0.1171982879	-0.267812363	0.0898939763	-0.1599474143	-0.0329109753	0.0043666604	0.0641410455	-0.261869318	-0.0507632979	-0.0011497654	-0.0703161812	-0.1317855563	0.0300048413	0.1476369135	0.2132416074	-0.1378661302	0.0133944618	0.0754539366	0.1128870784	0.0098991652	-0.2432467178	-0.0623751959	-0.2165659829	0.0038584458	0.0328215919	-0.1185107782	-0.0323302462	-0.0862261616	-0.0339194621	0.0412247855	0.0848968757	0.1943539619	-0.0326109413	-0.0507248898	0.0686003796	0.2386132063	0.093590564	-0.1594479145	-0.1240278474	-0.1102610881	-0.076560928	0.075087131	-0.0222816106	-0.1387666235	0.0318991964	0.1282514804	-0.016323878	-0.0068049452	-0.1083346006	-0.1078432401	-0.1145933493	-0.0444296135	0.1538107079	-0.0176272	-0.0021158999999999	0.0003107181798399	4.477032809999995e-06	-0.0103481	0.0615454	0.00378783626116	0.00010708317361	0.0191363	-0.042734	0.0003661979776899	0.001826194756	0.000116194	-9.6536e-05	9.319199296e-09	1.3501045636e-08	0.000454568	-0.0002786409999999	7.764080688094429e-08	2.06632066624e-07	-0.000539238	-0.000130093	2.907776206440001e-07	1.6924188649000023e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1280126779	-1.243185945	0.9582299134	-0.9150206604	-0.3668130774	1.010390048	1.218602929	0.08483162984
72997.32728519634	177.6064210369659	31544.04079356001	5328609790.78207	108405.235127397	-404.4998364998028	11751695003.026228	163620.1177283672	74222.26441789366	167.16937607810542	5508944535.319723	27945.600298343044	77618.80088557121	45486.83213606691	0.931586	19.907356	0.11878375	0.0629169	0.0553829422	-0.1523290533	0.0675825231	-0.1796074497	0.1887186237	-0.1934866475	0.1189490745	-0.1156137627	-0.0217623799	0.1844042351	-0.0614015686	0.1210341349	-0.0164002664	-0.0719794908	-0.0937072765	0.2599709667	-0.0972839056	-0.0107448446	0.0843612257	-0.0095300927	-0.1438653711	-0.0445441519	0.189301885	-0.0458327499	0.0867643669	-0.1091050111	0.2418513352	-0.0238161371	0.117035741	0.1231739997	0.0526594156	-0.1615638169	-0.0425182356	-0.0660308216	-0.022961944	0.1812553856	-0.0169589506	0.0009770974	0.0353522758	0.1413830755	-0.1990798416	0.2154370392	-0.1057868546	-0.0788140359	-0.0298705079	0.0210226374	-0.0443157338	0.0410057033	0.0174297847	-0.2068572511	-0.155113631	-0.0715261294	0.052033277	-0.159546534	-0.2095809291	0.0234958062	0.0667102712	-0.1009514175	0.0198534063	-0.1105545038	-0.0379955507	-0.0132486609	-0.028432484	-0.0131755108	0.0730979786	0.0140173446	0.1570742611	0.1587950466	0.1547341403	0.0989397926	0.1299503514	-0.0111919496	-0.0317264143	0.1053537437	0.1229447784	0.0631109611	-0.0743540231	-0.0768093896	0.0070850468	-0.0245543646	0.2328718338	-0.1323504114	0.156841517	-0.1158773849	0.0582952788	-0.0365901803	0.0177022073	0.1512085936	-0.00698125	0.01064595	4.87378515625e-05	0.0001133362514024	-0.0676565	-0.0573083999999999	0.0032842527105599	0.0045774019922499	0.0365681	0.0174318	0.0013372259376099	0.00030386765124	0.000575515	0.0004593209999999	2.1097578104100002e-07	3.31217515225e-07	0.000454568	0.0	0.0	2.06632066624e-07	-0.000330607	0.000208631	1.09300988449e-07	4.3526894161000015e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6097897471	-1.153732795	-0.2691733007	0.6404237771	1.379800917	1.266804814	0.06814914487	-0.8003906871
