global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	aroma_motion_01	aroma_motion_04	aroma_motion_05	aroma_motion_06	aroma_motion_07	aroma_motion_12
74568.76796765605	n/a	n/a	5560501156.214128	118707.36465785016	n/a	n/a	14091438424.011814	75916.08157306163	n/a	5763251441.407747	n/a	81014.41393223299	47868.46128243786	n/a	n/a	n/a	n/a	-0.1732037987	-0.0333167359	0.1997619991	-0.1137399471	-0.1756811995	-0.1543718728	0.1378274779	-0.156999148	0.1513001954	-0.0369356947	0.1064478883	0.2698885345	-0.0244178012	0.2681067122	-0.1194042571	0.0756731627	-0.0200567235	0.1731894235	-0.0431957866	0.0538278037	-0.0284588935	0.0512072909	-0.1259377006	0.0660464774	-0.0629016184	0.1646046924	-0.0566133096	-0.166993584	0.1270025638	-0.1473845586	-0.1980115748	0.0698010503	0.0392274748	-0.1046514848	-0.0046879041	-0.0059042474	0.0014487242	0.0402847767	-0.2395343081	0.2136976224	-0.1308444105	0.0335269617	-0.1924094962	-0.2047596485	0.0268304398	-0.0077878482	0.0555810102	-0.0406592943	0.1020425075	-0.0090707126	0.0244391974	-0.0018146032	-0.0851615931	0.0759389195	-0.0604781543	-0.0810437769	0.0660334273	0.1353454508	-0.1735785226	0.0350474861	0.1060365513	-0.2031590868	0.2010670527	-0.1728531101	0.0093778082	-0.0938805609	0.0997015434	-0.0120946471	0.1972316529	-0.2007500182	0.0979259565	-0.2059813642	0.0893041155	-0.1092341272	0.1469628998	-0.0198228777	0.1247905073	-0.0324927196	0.1567513423	-0.1034798646	0.0449305176	-0.04493623	-0.3076373021	0.155864748	0.075372052	-0.0282239676	0.1643619509	0.0260632	n/a	0.00067929039424	n/a	0.00510938	n/a	2.6105763984400003e-05	n/a	0.134312	n/a	n/a	0.0180397133439999	-0.00245768	n/a	n/a	6.040190982399999e-06	0.00140855	n/a	1.9840131025e-06	n/a	-0.000332683	n/a	n/a	1.1067797848900001e-07	0.9650423947	2.550187558	-1.724439352	0.5832725111	-2.426453859	1.49034213
74537.25788681579	-31.51008084026398	992.8851945599712	5555802813.285683	118040.82482468938	-666.5398331607867	444275.3491900093	13933636325.293003	75750.8143042785	-165.2672687831364	5738185867.761283	27313.270131037447	80734.77927839117	48526.43344126919	1.27281	21.057041	0.16653208	0.0757169	-0.113266937	-0.2131343487	0.0221882448	-0.2326399235	-0.0664907587	0.0956502593	-0.0050162522	-0.1925309729	0.2233341664	-0.0792998367	0.2760878236	0.107498473	-0.0855998052	0.0811975033	0.082623579	0.0683264782	-0.0720703259	0.1398878644	-0.0508991048	-0.0380341268	-0.0528501106	-0.2709503628	-0.0532251812	0.1479730037	-0.157494931	-0.1159399883	0.1817458293	0.113071598	0.0388175194	-0.1436391833	-0.1846214955	0.0964164801	-0.1697445852	-0.260789332	-0.0260585895	-0.2073830208	0.1257898404	-0.0309183681	-0.055768897	0.0262969232	0.0278564919	-0.1129647822	-0.1891760301	-0.2422137902	0.083001939	-0.1073465418	-0.0110058388	-0.2494670406	0.2808291198	-0.0807275022	-0.0227182566	-0.0453225115	0.0532581956	0.0773261415	0.0129782562	0.1340350191	0.0133802598	-0.0070654287	-0.1116927105	-0.0701199234	-0.1021156887	0.0467602624	0.26248599	-0.1371821378	-0.111955059	-0.30907661	-0.0067559926	-0.053407682	0.0694489079	-0.0745619371	0.1130332319	-0.1211144665	0.0931347152	0.0171597524	0.0544755297	0.1730541596	0.0247291158	-0.0892540338	-0.0041502189	-0.2291665848	-0.1316011178	-0.089928906	0.1091310356	-0.0711905717	0.1533388513	-0.2184939818	0.1640657595	0.0618159	0.0357527	0.00382120549281	0.0012782555572899	-0.0307376	-0.03584698	0.00094480005376	0.0012850059751204	0.14529	0.010978	0.000120516484	0.0211091841	-0.00305526	-0.00059758	3.571018564000004e-07	9.3346136676e-06	0.00175822	0.00034967	3.0913375684e-06	1.2226910890000005e-07	0.000399155	0.000731838	5.355868582440001e-07	1.59324714025e-07	1.084681324	-1.008904113	-1.467394183	0.672223713	-1.301815487	-1.070141733
74748.70763242884	211.44974561304844	44710.99491982289	5587369292.718325	117430.1903414439	-610.6344832454779	372874.4721284718	13789849603.627745	75619.97754618124	-130.83675809725537	5718381004.084954	17118.257269399717	80711.05383108242	57557.55877864012	1.159175	19.177099	0.17834048	0.0857499	0.0861428901	-0.0713519553	-0.0622177413	-0.3370788303	0.0432017781	0.1635846633	-0.0712943599	-0.2448527357	0.0497031575	-0.226353914	-0.0478128946	0.0401186855	-0.1767922893	-0.079038524	0.2491469605	0.0025123788	-0.1615676658	0.067905285	0.0361562057	-0.0204223529	0.0309011483	0.0024405463	-0.1220476135	0.00947763	-0.0787717236	-0.0019317227	-0.0528889381	-0.0263692765	0.1641633683	-0.1323355182	-0.014890802	0.0909585	0.0079664151	-0.248364283	0.1335291301	0.0240826985	-0.0218382609	-0.1652338797	0.0307357266	-0.1676069457	0.0411231304	-0.1935757522	-0.097731415	-0.1793677129	-0.0672513871	-0.0063433096	0.0006475905	-0.1272856456	0.0569632335	0.0863315474	-0.1581542838	0.0544130403	-0.0386898061	0.066521643	0.0231755553	0.0173670172	0.0016072603	0.0204593378	-0.2530737246	-0.0577728829	0.0857415515	0.0029037647	0.1581387678	0.070343026	-0.0241622913	-0.2942557934	0.0408491933	0.0403400547	-0.0334000914	0.0567530586	-0.0856213476	-0.0466237796	-0.2141459336	0.0419413361	-0.0089723024	0.0377036759	0.0537136982	-0.1570678829	-0.0116570641	0.0716854879	0.0036682299	0.0530228454	-0.0309921612	-0.04155774	0.1594750705	0.0197531703	0.1634739106	0.0390074	-0.0228085	0.0015215772547599	0.00052022767225	-0.00949027	0.02124733	9.006522467290001e-05	0.0004514490321289	0.0883483999999999	-0.0569416000000001	0.00324234581056	0.0078054397825599	-0.0032385	-0.0001832399999999	3.3576897599999964e-08	1.048788225e-05	0.000664586	-0.001093634	4.41674551396e-07	1.196035325956e-06	0.000129168	-0.0002699869999999	7.289298016899998e-08	1.6684372224000002e-08	1.369559622	-0.7369781284	0.4062178113	-0.4791463188	-0.1407895577	-0.8364460217
74713.24868284514	-35.458949583698995	1257.3371055793073	5582069528.74466	117644.70474868224	214.5144072383409	46016.43091281678	13840276555.404615	75713.3472550116	93.36970883035974	5732510952.557972	8717.902527066159	80733.90741008056	49972.87442491319	1.075699	17.796099	0.07800843	0.0482933	-0.0673354084	-0.0146009737	-0.0423468338	-0.3272806565	0.1915446764	0.1378049196	-0.1059022133	-0.0402684346	0.0532049015	-0.1366047382	0.1271080301	-0.0238420929	0.0307880342	-0.1595403864	0.0564345993	0.0846247581	-0.1484632956	0.0252299157	-0.2205575154	0.1567717318	-0.0910701361	-0.0031258229	-0.0459664074	0.0805402689	-0.0130168928	0.2471652394	0.1743711245	-0.1598394076	0.0418910865	0.1016747242	0.0361678623	-0.0066910306	0.1351271203	-0.1080053808	-0.1244878754	0.130687872	-0.1399559652	0.0584699838	0.1245975802	-0.0764381199	0.1464790462	-0.0645278492	-0.0261848533	-0.3125645804	-0.0410311631	-0.1215150906	0.0730207357	0.0907080604	-0.0619842217	-0.0393499653	0.3007138611	-0.1207374273	0.0481271576	-0.1667245603	0.0491554502	-0.1277434756	-0.0236085138	-0.0417582381	-0.100025972	0.0760274467	0.0954334372	0.001459354	0.1414617212	0.0882907685	0.0375731023	-0.2947632652	-0.0577805308	0.0671168008	0.0226079869	0.0575502567	0.0693844985	0.0116541865	-0.1262642701	0.1580324431	0.1440104033	-0.1579784491	-0.0483638029	0.0287280622	0.0496083814	0.1592006965	0.1245810608	-0.0735173812	-0.1382315596	-0.1147483772	-0.0685867824	-0.1247670028	0.1625874706	0.0390074	0.0	0.0015215772547599	0.0	-0.0462165	-0.03672623	0.00213596487225	0.0013488159700128	0.0947101	0.0063617000000001	4.047122689000139e-05	0.00897000304201	-0.00254009	0.00069841	4.877765281e-07	6.4520572081e-06	0.000664586	0.0	4.41674551396e-07	0.0	0.000129168	0.0	0.0	1.6684372224000002e-08	0.7668913078	-0.9852869685	0.07377725527	-1.75735284	-0.7549006214	-2.042501527
74893.76523484621	180.5165520010778	32586.225546357826	5609076071.052259	118550.47823324548	905.7734845632368	820425.605337828	14054215889.33121	75711.77226225978	-1.5749927518190816	5732272459.092289	2.480602168282643	80709.07039083625	50090.35581026133	1.182375	19.560913	0.0817242	0.0415544	-0.0911883178	0.124169856	0.019439255	-0.11367872	0.2016476698	-0.0673184993	-0.1840520048	0.1884758666	0.0451356311	-0.0102000431	0.1663181215	-0.2434037209	-0.0703070836	-0.1798422365	0.0569400186	0.0948698851	-0.1211284009	0.0241581451	0.0773657987	-0.0067387958	-0.0910750229	-0.2398583902	0.1105884588	-0.0351325578	0.1645031971	-0.1517600111	0.1345648266	-0.1296918905	0.1299547969	-0.1407238337	-0.0051631545	-0.0715599305	0.0427380346	0.0232619973	-0.0512991941	0.1322605415	-0.1515104709	-0.1333637303	0.2014905638	0.0277451822	0.1289943261	-0.0145241048	0.1824991432	-0.1102804586	0.0293951888	0.1346128657	0.0241134302	-0.0440039143	0.1127657847	0.1619111963	0.2052437655	-0.1718835821	-0.0092887094	-0.0211772995	-0.1369883531	0.2525984331	-0.0641498742	0.021281524	0.0101120917	-0.0955249648	-0.0166391626	0.0009087652	0.097765559	0.0506430569	0.1385895593	-0.1981784923	-0.099586938	0.2051597161	-0.0046640393	-0.0319122045	0.0705375748	0.1613170017	-0.020523088	0.0360817106	-0.0263051694	-0.0430261568	0.066240193	-0.1041764224	-0.1012744792	0.0155142895	0.1025841816	-0.060503315	-0.0059843039	-0.0416576896	0.0432708081	-0.0969226062	0.161408037	0.0565534	0.017546	0.0031982870515599	0.0003078621159999	-0.0253185	0.020898	0.00064102644225	0.000436726404	0.0884260999999999	-0.0062840000000001	3.948865600000137e-05	0.0078191751612099	-0.00227005	0.00027004	7.292160160000001e-08	5.1531270025e-06	0.000194702	-0.000469884	3.7908868804e-08	2.20790973456e-07	0.000129168	0.0	0.0	1.6684372224000002e-08	0.7370372625	0.4945114656	-0.5703953283	-2.163177707	-0.3457541341	-0.9727169243
74817.00161540827	-76.76361943794473	5892.653269213605	5597583730.720004	118195.53922133848	-354.93901190700126	125981.70217351838	13970185491.822962	75836.92179216369	125.14952990390884	5751238706.910751	15662.404835169373	80816.9152560275	47508.280423919496	1.102959	18.247082	0.0549472459999999	0.0341838	-0.1488710177	0.0453286029	0.1209279569	0.0716728117	-0.0552885678	-0.1594455703	-0.1951194027	-0.026452639	-0.1755370359	-0.0088163314	-0.0666371449	0.0333824479	-0.0473384654	-0.0263076028	-0.2446822447	0.1433956976	-0.08217709	-0.0131846184	0.191849186	-0.0146404083	0.0570345113	0.0928304046	-0.0799427646	0.0621068878	0.1129373353	-0.10561169	0.0979217635	-0.2344349717	0.1041586709	0.1884790005	-0.0558608703	-0.0955216773	0.0272015316	-0.050435089	-0.0949346754	-0.0086937383	0.0571626277	0.1123199679	0.0151247742	0.2294389372	0.1255421059	0.176776174	0.0255444288	-0.0147491705	-0.0891022111	0.0583368202	0.0084289075	0.0941229246	0.0281737383	0.1125319326	-0.0121151382	-0.037544289	0.098928641	0.0243017914	-0.3471452528	-0.087099748	0.052986882	-0.0016557967	-0.1785139566	0.1624295234	0.0278139863	0.0242829793	0.0523769598	-0.0600094249	0.1918445132	-0.1104715513	-0.0485191627	0.0738699064	0.0061449348	-0.1792284642	0.204788643	0.1804469571	-0.0306772329	-0.0250738895	-0.069794662	0.0478208399	-0.1943930876	0.1016839126	-0.0906568857	-0.1243217028	0.1871281638	0.1664730437	0.0470829528	0.0071357223	-0.1060817135	0.0495218927	0.1599377353	0.0505547	-0.0059986999999999	0.00255577769209	3.598440168999995e-05	-0.000628704	0.024689796	3.9526871961600003e-07	0.0006095860265216	0.0884206	-5.499999999894478e-06	3.024999999883926e-11	0.00781820250436	-0.00188822	0.00038183	1.4579414890000008e-07	3.5653747684e-06	0.000297937	0.000103235	8.876645596900001e-08	1.0657465225000006e-08	0.000129168	0.0	0.0	1.6684372224000002e-08	0.7171717069	0.6504971835	-1.200000106	-1.194653913	-0.7991323215	0.6262709685
74672.35723861515	-144.6443767931196	20921.995737869955	5575960935.571361	118074.08802593184	-121.45119540664018	14750.392865701897	13941490263.1555	75787.29248208665	-49.62931007704174	5743713701.765348	2463.0684187231564	80877.43127534926	45668.00417523301	1.106864	18.311684	0.0802042459999999	0.0408342	-0.1687776949	-0.1322781936	0.0065826807	0.1454688585	-0.1371398445	0.0042492378	-0.0749893028	-0.0830223393	-0.0784479749	-0.0185522423	0.0592002392	-0.0115409085	0.0006330923	0.0806720393	-0.2119507975	0.0309203778	-0.2518781864	0.1322315788	-0.0402947188	-0.1214568849	-0.1587931603	0.0690026816	-0.0318535048	-0.0969864167	0.1512699395	0.1278203589	0.0295571204	-0.0343272515	0.0970441063	-0.0364647534	0.1171196421	-0.0317784572	-0.0560442914	0.1525388135	0.3078519114	-0.0352891546	0.1085597425	0.0956514625	-0.1509792677	0.0495290311	0.1263420286	0.1633624081	-0.0414747377	-0.1927752949	-0.076453466	0.0627248602	0.1384134728	-0.1299490131	-0.1398410555	0.1641749425	0.0179905147	0.0078080252	0.003834772	0.0985517572	-0.0951579338	0.0503155791	0.0509021508	-0.1651216267	0.138445523	0.1250669499	0.0586831701	-0.0535046015	0.0312049097	-0.180371304	0.1390083004	-0.0936608167	-0.1650384645	-0.1035767667	0.0264086478	-0.0327016785	0.2353638498	0.0511843598	0.0670877085	0.0077394346	0.1043911602	0.0574793359	-0.055822855	0.1087685958	-0.0676297491	0.1162040161	0.1325794494	0.2452250799	0.2789289787	-0.1065021429	-0.0767776764	0.185435994	0.1581792149	0.0390604	-0.0114942999999999	0.00152571484816	0.0001321189324899	-0.035281	-0.034652296	0.001244748961	0.0012007816180716	0.106126	0.0177053999999999	0.0003134811891599	0.011262727876	-0.00166441	0.0002238099999999	5.009091609999994e-08	2.7702606481e-06	0.000194702	-0.000103235	3.7908868804e-08	1.0657465225000006e-08	0.000129168	0.0	0.0	1.6684372224000002e-08	0.5990310872	-0.2700219458	-1.732435585	0.3319647945	-1.317823114	-0.452998274
74770.53149880623	98.17426019108098	9638.185364066068	5590632380.613975	117993.35841020332	-80.72961572851636	6517.270855673917	13922432628.9187	75792.78172372018	5.48924163353513	5744545761.419492	30.131773711335423	80856.90271870774	50888.746263934576	1.107443	18.321259	0.07452585	0.0517724	-0.0386211014	-0.1424355333	-0.1148828418	-0.021823079	-0.1192846472	0.1344236849	-0.0162513275	-0.119557897	-0.0792564692	0.0339111181	0.2576868375	0.0585909219	-0.1073088872	0.1233743074	0.0847648056	-0.1274296303	-0.1134290899	0.1008545421	0.0750838942	0.1145231274	-0.0210369862	-0.0866068981	-0.1563981502	-0.2222673189	-0.0038842109	0.085399884	-0.0237625218	-0.0438615773	0.0126990897	-0.0523507059	0.1682076024	-0.1651421189	0.0119163818	0.0742395159	-0.055173552	0.2152043044	0.0591575662	0.175558345	-0.1763718692	-0.1411306728	0.0119662929	-0.0230829931	-0.0398736897	-0.0994137851	-0.0404434611	0.0742308514	-0.1389324016	0.056954084	0.0792339362	0.2180379292	0.0556089355	0.1514554386	-0.2289181816	-0.0488979132	0.1365904152	0.0542378216	-0.0177442871	-0.0738638828	0.0782263801	-0.0363485204	0.0909223838	-0.0485975362	-0.0568726453	-0.1682149006	-0.0770468276	-0.1811609505	-0.0712328096	0.075369293	-0.0426844069	0.0021677667	-0.1099506737	0.0374228407	0.1844650721	0.000458731	-0.1110732346	0.0954663346	-0.0582183	-0.0784892953	-0.0200106387	-0.0204263868	-0.0815559711	-0.0473608165	-0.0901094105	0.0188715114	-0.1413045825	0.1938120747	0.1561356449	0.0390614	1.000000000001e-06	0.00152579296996	1.0000000000020005e-12	-0.0112641	0.0240169	0.00012687994881	0.00057681148561	0.0605918	-0.0455342	0.0020733633696399	0.00367136622724	-0.00163456	2.9850000000000106e-05	8.910225000000061e-10	2.6717863936e-06	0.000194702	0.0	3.7908868804e-08	0.0	0.000198793	6.9625e-05	4.847640625e-09	3.9518656849000003e-08	1.494378738	-0.4069966685	-1.02962031	1.048643909	0.1822076268	-1.304315625
75170.42768657039	399.8961877641559	159916.96098830504	5650593198.581908	117617.18391730989	-376.1744928934349	141507.24910363293	13833801952.6383	75730.80250528081	-61.97921843937365	5735154448.093846	3841.423518355595	80771.94173455807	64830.29088484558	1.065829	17.632801	0.1024982	0.052719	0.2439495059	-0.0493993978	-0.0838311691	-0.039876878	0.0600801339	0.1921662804	-0.0772697254	-0.0816067335	-0.0124050061	0.0032258122	0.0370521532	-0.0816792396	-0.0129736047	-0.0429070098	-0.0556638563	-0.2391038481	-0.0393563657	-0.00960885	0.1832231812	0.1028149695	0.1520124588	0.1061484898	-0.1123940186	0.030448938	0.2311504783	-0.1808547834	-0.0618810116	-0.0581122145	-0.1894903157	0.0976887806	-0.1137734916	0.0307083215	-0.0947446113	0.0268091261	-0.0899289428	0.0378361933	-0.0853040242	0.0350329463	0.0154024825	-0.1639648753	0.0321696222	0.1117532916	-0.0528929068	0.0828150451	-0.0962762817	0.1388834249	-0.0210915013	0.2295791027	0.1263530491	0.0316855791	-0.0944926045	-0.0256982335	0.0678742176	0.1760826245	-0.1076438467	-0.149684298	-0.0290657981	0.0228948616	-0.0707519724	-0.123352353	-0.1867992228	-0.010789525	-0.0604863846	0.013162329	-0.1154944678	-0.1688232649	0.0461739332	0.028696823	-0.0587386442	0.0199356702	-0.2630540706	-0.0095971205	-0.1003571942	-0.0133342202	-0.1957921649	0.1397932718	-0.117855749	0.0245523288	0.0431281279	-0.0882867535	0.0508098501	0.0971810977	0.1621384107	0.0894316902	-0.0629586686	0.0627623245	0.1538107079	0.0366715	-0.0023899	0.00134479891225	5.711622010000001e-06	0.0319314	0.0431955	0.0010196143059599	0.0018658512202499	0.0347126	-0.0258791999999999	0.0006697329926399	0.00120496459876	-0.00188279	-0.00024823	6.161813290000005e-08	3.5448981841e-06	0.000497519	0.000302817	2.47525155361e-07	9.169813548900001e-08	0.000129168	-6.9625e-05	4.847640625e-09	1.6684372224000002e-08	1.672304776	-1.36631468	0.3684906345	0.006918829015	0.6921433068	-1.002036328
75238.10775744228	67.68007087189471	4580.591993224692	5660772858.920496	118055.34905638178	438.16513907189074	191988.68909788932	13937065440.82414	75860.05152677684	129.24902149602713	5754747417.645236	16705.30955768048	80854.04259467243	64149.64863052814	1.084778	17.946299	0.067980685	0.0338147	0.202568567	0.1174066189	-0.0557064315	-0.0556813733	0.1557270447	0.0724732233	0.0517353993	-0.0228489272	-0.0741081482	-0.0022540179	-0.0408011279	0.0471294774	-0.1821867403	0.0804351287	0.0975780528	-0.0679822445	0.0271351467	-0.0774532549	-0.0628755364	0.0256499254	-0.0154942156	-0.2127685737	0.2854193871	-0.0462706928	0.1666232938	-0.0582031168	0.127673379	0.153714785	0.0839829792	-0.0726014835	-0.0648458736	-0.2079933561	-0.0028137862	0.0637746682	-0.0124535742	0.0214262973	-0.0519215649	0.0198835848	0.0086859925	-0.0673420085	-0.1078039218	-0.0576473587	0.2065609302	-0.0429396662	0.1460618073	0.0273197996	0.0306384405	0.0059012966	0.1287352132	-0.0867825327	0.1466330001	-0.0209839162	0.1789297151	0.0220748215	0.0514353972	0.2789671945	-0.1566538906	0.0464826044	0.0147768741	-0.1514134754	0.0405643599	-0.1373022366	-0.0559952443	0.142569533	-0.0395179896	-0.118813609	0.038620104	0.0822723708	-0.0331292467	0.0247857574	0.0144342118	-0.0262486902	0.0085988693	-0.0395548446	-0.0904756007	-0.1457047706	0.098816101	-0.0449008063	0.3047753368	-0.0138507179	-0.0782658471	0.0031325502	0.0455026921	0.1083789913	-0.1623578484	0.1154022207	0.1512085936	0.0266489	-0.0100226	0.00071016387121	0.00010045251076	0.00450683	-0.02742457	2.03115166489e-05	0.0007521070396848	0.0347052	-7.400000000004625e-06	5.476000000006845e-11	0.0012044509070399	-0.00164108	0.00024171	5.8423724100000014e-08	2.6931435664000003e-06	0.000194702	-0.000302817	3.7908868804e-08	9.169813548900001e-08	6.31727e-05	-6.59953e-05	4.35537962209e-09	3.990790025290001e-09	1.449726852	0.6782308073	0.4890370815	-0.8479461381	0.4095269803	-1.501308205
