global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	aroma_motion_04	aroma_motion_09	aroma_motion_10	aroma_motion_12	aroma_motion_14	aroma_motion_15	aroma_motion_16	aroma_motion_17	aroma_motion_18	aroma_motion_20	aroma_motion_21	aroma_motion_22
62817.07945131846	n/a	n/a	3945985470.793256	87687.86508469355	n/a	n/a	7689161683.111418	63466.35537553267	n/a	n/a	4027978264.6534047	69490.03672718628	35951.433714423794	n/a	n/a	n/a	n/a	-0.1160284178	-0.0089028812	0.0144023327	-0.1395738108	0.2086266558	-0.1917996186	0.0699059286	-0.0771524151	0.2141708968	-0.1525113547	0.1397362933	0.2849536573	-0.0995240575	0.0541540295	-0.0146083525	0.105470445	-0.0026219379	0.0053105212	-0.0035485717	0.0864381665	-0.1042095137	0.0552625289	-0.0675147252	0.0568532964	0.119854149	-0.2275150168	0.0593582864	0.1275248993	-0.1869634201	0.0314240955	0.0898873144	-0.1082225979	0.0897824085	0.019496363	0.0233803855	-0.0608329831	0.0602980613	-0.328064633	0.0244740499	-0.155502067	0.0203108374	-0.001163138	0.079075305	-0.0144641104	0.0282587832	-0.0037869103	0.2704999537	-0.0293796539	0.0846619839	-0.0833939122	0.0394057933	-0.2645633599	-0.1364266743	0.1710259216	-0.1770547256	-0.0262103844	-0.0259255743	0.3393202055	-0.0872299864	0.0388753177	-0.1917992409	0.1374394734	-0.0780632894	0.0762682872	-0.0555766349	0.0541996487	-0.0339692059	0.1292525623	-0.1335888926	0.0100048839	-0.2615221257	0.2478197831	-0.2667999428	0.1368830369	-0.0204007722	0.0725248591	-0.0076839017	0.0558311252	0.0174947006	-0.0556215308	0.0191965997	0.1643619509	-0.000196443	n/a	3.8589852249e-08	n/a	-0.102351	n/a	0.010475727201	n/a	0.123423	n/a	0.015233236929	n/a	0.000782549	n/a	6.12382937401e-07	n/a	0.00165295	n/a	n/a	2.7322437025e-06	0.0007672309999999	n/a	5.886434073608465e-07	n/a	0.0	0.0	0.0	0.0	0.0	-0.2816677605	-0.1149636626	0.1363647236	0.05427274756	0.4493126607	-2.560712069	-1.754624443	-1.3351982	0.9377873467	1.543362598	1.298892377	2.153678337
62886.55950877555	69.48005745709088	4827.47838424065	3954719366.8507686	88843.2406296503	1155.3755449567543	1334892.649884117	7893121405.577947	63393.788454367896	-72.56692116477643	5265.958047334878	4018772414.597149	69641.70217783663	36613.24423000211	0.970992	22.204815	0.213404343	0.0899229	-0.1035547038	0.1979085701	0.1273886393	0.2085650058	0.2631663709	-0.1091107062	0.1889482594	-0.0846834069	0.0659320493	-0.0547096657	0.1293165894	0.0632876071	-0.2505843995	0.0378122367	-0.0076550543	0.0489014283	-0.1053822613	0.0185292825	-0.1565361159	0.1275542633	0.0079618044	0.064751624	-0.1528474286	-0.034420553	0.0691133282	-0.0387266761	0.1348582563	0.0276614717	0.0264712828	0.053062885	-0.0527586803	-0.126228788	0.0062261925	0.1686089599	0.0104343552	0.2458904668	-0.0117842197	-0.1273661376	0.1567278729	-0.1082491716	0.0412314605	0.0629904892	0.0140349641	-0.0024844964	-0.0069280642	0.0001014613	0.0081940567	0.1172633666	0.111056299	-0.0228675383	0.0993607526	0.0208411887	-0.0301428233	0.0409389104	-0.0323144884	-0.0690317374	-0.3078265325	0.2524264189	-0.1543535252	-0.0946467935	-0.1670273741	0.1524157252	-0.031061432	-0.0613257352	-0.0635108402	0.1523097927	0.0966757928	0.0710935247	-0.0197808106	0.2316334393	-0.1257254715	-0.0128557835	-0.0252434045	0.0152129027	0.0161551645	-0.0443583359	0.1457644171	-0.0184215404	-0.0649454674	-0.0116735822	-0.1596927025	0.1640657595	0.0222293	0.022425743	0.00049414177849	0.000502913949102	-0.0681753	0.0341757	0.0046478715300899	0.00116797847049	0.0524397	-0.0709833	0.00274992213609	0.00503862887889	0.000104434	-0.000678115	1.0906460356e-08	4.59839953225e-07	0.00109301	-0.00055994	3.135328036000001e-07	1.1946708600999998e-06	0.000288894	-0.0004783369999999	8.345974323599999e-08	2.2880628556890435e-07	0.0	0.0	0.0	0.0	0.0	0.4220165166	0.396686129	1.762220695	1.166258998	1.159675861	-1.620597346	-1.211352666	0.733313643	1.32910322	-1.183278909	0.9852986569	1.884253523
62609.625309804185	-276.9341989713648	76692.55055991148	3919965181.434073	88501.13593691871	-342.10469273159106	117035.62078897632	7832451062.124965	63297.40652965199	-96.38192471590446	9289.475411942276	4006561673.380031	69484.28696237934	36320.92406520954	0.983211	22.484238	0.0722545099999999	0.0327284	-0.1103295849	0.185412255	-0.0492545713	0.1260912401	-0.0817640805	-0.2212487717	0.1568777623	-0.1994419496	0.1102381635	-0.0087638527	0.0383088253	0.1281191839	-0.0898287889	-0.0582776969	0.0357572526	-0.0557410071	0.0135403269	-0.2768493042	0.1139173147	-0.0069807206	-0.2394225108	-0.0582445318	-0.015575953	0.1186859529	-0.0040634952	-0.1648660465	-0.2593159146	-0.0114666944	0.0821150215	0.0762200309	0.1493205638	-0.0788912359	-0.1486387374	-0.031906586	0.0510706988	0.1630997022	0.1387033211	-0.1264101046	-0.0981783228	-0.2298528272	0.0844310806	0.1030533613	-0.0450763346	0.0177740276	0.1387372583	-0.0505943343	0.0754336772	-0.1357089687	-0.0978715707	-0.1075654231	-0.1497407132	-0.2597387844	-0.0427783116	0.164624304	0.1182624433	0.1056219515	-0.0647587878	0.2475009407	-0.0795139065	-0.0597389574	-0.1652965319	-0.0943611174	-0.1661942467	-0.1625861086	-0.1154477056	0.0956508144	0.0495513563	0.0567916041	0.0232085222	-0.1188408759	-0.1002174949	0.1735421051	0.1206688968	-0.0447709008	-0.025481095	-0.0304464103	-0.0555254032	-0.0552436266	-0.0827238488	0.0441651122	-0.1681661115	0.1634739106	0.0174036	-0.0048256999999999	0.00030288529296	2.3287380489999987e-05	-0.0727204999999999	-0.0045451999999999	0.0052882711202499	2.065884303999911e-05	0.0657463	0.0133065999999999	0.0043225759636899	0.0001770656035599	0.000571249	0.000466815	3.26325420001e-07	2.1791624422500002e-07	0.00136999	0.00027698	7.671792040000002e-08	1.8768726001e-06	4.11488e-05	-0.0002477451999999	1.69322374144e-09	6.137768412303998e-08	0.0	0.0	0.0	0.0	0.0	-0.202950359	0.1316837748	2.275679902	0.9324122624	0.1389767479	0.6206620308	-1.373534916	-0.7087946912	-0.6805476066	2.148419393	0.519057977	0.0620249258
62515.50876173264	-94.11654807154264	8857.924620902997	3908188835.738271	87643.87262834821	-857.263308570502	734900.3802212437	7681448409.294125	63188.7940740412	-108.61245561078977	11796.665513805778	3992823696.531584	69375.22762981635	41564.02213165342	1.419338	32.457649	0.0955956899999999	0.0484059	-0.0635412645	0.0153015266	-0.1454481419	-0.0346924878	0.0305594279	-0.0390484832	-0.0573591165	-0.1698609811	0.1887239837	-0.0807533785	0.0149261982	-0.0958523298	-0.0185332671	-0.0465117175	-0.0607800113	-0.1463962522	0.2260460054	-0.0500124927	-0.0210438938	0.1965206641	0.0750850325	0.0915835179	0.1225569072	0.0317920374	0.2391907636	0.0138339629	-0.0530529331	0.1006680131	0.0792585377	0.0546611633	0.1302052025	-0.005044103	-0.1044195591	-0.0846601725	-0.103975824	-0.000462556	-0.0367336788	0.067708029	-0.044524407	-0.1751072029	0.071980261	-0.1630038717	-0.1258077637	0.0442231415	-0.0202062052	-0.095311645	0.2381172553	-0.0378480837	-0.0699115233	0.0794942767	-0.0042679758	-0.0155708514	-0.1832713387	-0.0461510208	0.024467301	-0.0088377413	-0.1130306066	0.1523026446	-0.0605631819	-0.0045509607	-0.1327553016	-0.1549669054	-0.1168076113	-0.0314032368	0.091081738	0.3039169382	-0.1177587049	0.0129637838	-0.0146949234	0.1094545141	0.0660909979	0.0491120624	0.0680798935	0.0781711126	0.0768213126	0.0382263946	-0.0036782294	-0.049449194	-0.1994385008	-0.0009402867	0.0856325616	0.1625874706	0.0230554	0.0056517999999999	0.00053155146916	3.194284323999998e-05	-0.0663169	0.0064035999999998	0.0043979312256099	4.100609295999869e-05	0.0211307	-0.0446155999999999	0.0004465064824899	0.0019905517633599	0.000305323	-0.000265926	9.3222134329e-08	7.071663747600004e-08	0.00116602	-0.0002039699999999	4.160376089999997e-08	1.3596026404e-06	-0.000267449	-0.0003085978	7.1528967601e-08	9.523260216484001e-08	0.0	0.0	0.0	0.0	0.0	1.742923772	-0.148204882	0.9287854637	-0.9224080426	0.912845511	0.1809253248	-1.572174302	-0.9782343571	0.4340752236	0.4828991333	-1.328960293	1.101302138
62279.17153640743	-236.33722532520915	55855.28407441868	3878695207.261262	87418.10258847191	-225.77003987629723	50972.11090574484	7641924660.1686	63085.4944424716	-103.29963156960002	10670.813882415106	3979779609.051116	69287.33211561273	35145.907346986394	1.37879	31.530394	0.08000775	0.0403802	-0.1259536631	-0.0546120576	0.0453644901	0.0017896648	-0.0264880535	0.1697262358	-0.0427674404	-0.2339776109	0.0340427851	0.0163720936	-0.0281609884	-0.1173622981	0.1320160361	0.062980949	-0.0590639826	0.1258871215	-0.0379275888	-0.1545067426	0.0606179175	-0.1588423974	-0.0959089457	-0.056645493	0.0057645441	-0.0315195114	0.0332964739	-0.090716133	0.2573682036	0.1587892525	-0.0747732645	0.1343383317	-0.0896904658	0.0346698395	-0.0997935639	0.1647505808	-0.160198356	-0.0445624408	-0.0731497811	0.095780075	0.0999624881	-0.0876129856	0.1739731067	0.0819175677	-0.0830106931	0.0297276455	-0.0048693694	0.0225247367	-0.1753459856	0.1345825054	0.0052261018	0.1899611167	-0.1373197825	-0.0142038152	-0.2076046107	-0.1224759412	0.0162488128	-0.0694045341	-0.0423055077	0.1355995174	0.0521625396	0.052628813	-0.1363352264	-0.1082687293	-0.0740370171	0.091893941	-0.1179676207	0.0225003214	-0.0151053723	0.0224383848	0.2218233864	0.1000000066	0.0952394971	-0.0655499932	0.1589059479	-0.0560405729	0.0618179291	-0.1169910353	0.0860255028	0.1142109802	-0.1216232861	0.0837053117	0.0635524396	0.161408037	0.0162049	-0.0068504999999999	0.00026259878401	4.692935024999999e-05	-0.0666414	-0.0003245	0.00444107619396	1.0530025000000348e-07	0.0484826	0.0273519	0.00235056250276	0.00074812643361	0.000141222	-0.0001641009999999	1.9943653284000004e-08	2.6929138200999992e-08	0.0007898319999999	-0.0003761880000001	1.4151741134407528e-07	6.238345882238421e-07	0.000101879	0.000369328	1.0379330641e-08	1.3640317158400004e-07	0.0	0.0	0.0	0.0	0.0	0.4324554277	-0.2046089074	0.009714760212	-1.215971587	-0.3446242265	0.7788843159	-1.615976126	1.803860621	-0.8387692188	-0.5074545697	-0.01762914514	0.3871659197
62413.92619391524	134.7546575078086	18158.817720046794	3895498182.9394994	87587.0851702009	168.98258172898204	28555.11292779209	7671497488.612025	63106.44743430398	20.95299183237512	439.0278667275784	3982423707.778571	69302.08124258631	42142.14397264308	2.329448	53.270195	0.18560262	0.0823307999999999	-0.07356009	0.1262752807	0.0762236405	0.1021795764	-0.06350122	0.2955175792	-0.0284341431	-0.0514374301	-0.0504246061	-0.0439679822	-0.0840803919	-0.1953906696	-0.0854405075	-0.1951714722	0.0181248572	0.0161034495	-0.0417035848	-0.0520272219	-0.0732570199	-0.0073745739	0.0679288059	-0.1030070197	-0.2341884811	0.1580078076	-0.0397201007	0.0512338663	-0.106367476	-0.027049114	-0.0593040096	0.0432921743	0.1268456907	0.2129738556	0.2019247138	-0.197592288	-0.0086644502	0.1167211444	-0.0787763465	0.2350162807	0.1200481773	0.070114464	0.0604830005	-0.0045069218	0.0175302795	0.1595171114	0.1435817276	0.135405984	0.0421459747	-0.0275979285	0.1696616526	-0.124857416	0.0140946908	-0.0284908942	0.0884011233	-0.0085534057	-0.105415637	0.1179219216	0.0035531943	0.0100628808	0.0551657636	0.1067549038	-0.0012703991	0.0026625427	0.1573913561	-0.1475991041	-0.0001918946	0.0993450408	-0.09072958	0.0620963939	0.213520627	0.014144886	-0.0102775634	-0.1035811908	-0.0441324692	-0.0342024625	-0.0953146605	0.0099681378	0.2589420502	0.06497174	-0.0593540031	0.0469830429	0.1942441472	0.1599377353	-0.0180378	-0.0342427	0.00032536222884	0.00117256250329	-0.0352428	0.0313986	0.0012420549518399	0.00098587208196	-0.00651637	-0.05499897	4.246307797689999e-05	0.0030248867010609	0.000463053	0.0003218309999999	2.14418080809e-07	1.0357519256099997e-07	0.00014616	-0.0006436719999999	4.143136435838713e-07	2.13627456e-08	0.000435623	0.0003337439999999	1.89767398129e-07	1.1138505753599998e-07	0.0	0.0	0.0	0.0	0.0	0.4645583163	-0.6090101594	-0.2100090953	0.4729879984	1.534879571	0.508696566	-0.7861972651	1.072162669	0.1896927132	-1.713762719	0.09767719441	0.2509957144
62178.50753378488	-235.41866013035903	55421.94553757351	3866166799.128944	87580.27295503163	-6.812215169265983	46.40627551237756	7670304210.877845	63129.77867542614	23.331241122163192	544.3468123005188	3985368955.608289	69270.48269669298	35210.87839703569	2.333666	53.366646	0.08576587	0.0468828	-0.115586488	0.0859763017	-0.0786749713	0.0647745576	-0.2666992938	0.1063091614	0.0504796363	-0.0703598958	-0.0915623295	-0.1279160463	-0.2401270125	-0.1289757624	-0.0718330076	-0.178391931	-0.1829913982	0.025955201	-0.0906377486	-0.0725091638	0.0280433357	-0.1458335333	0.2046021213	0.1274964122	0.0645679897	0.1279023609	-0.064587813	0.0102304954	-0.0570520023	-0.000986054	0.0283961163	-0.0641937478	0.1689976043	-0.2396829928	-0.076322637	0.1954501431	0.0518633417	0.1039933374	0.0354278047	0.1700158062	-0.0549337011	-0.0653000724	0.0561555416	-0.0343767414	0.0856792682	0.0702605173	0.0808881431	0.0684338863	-0.0860603015	-0.214334888	-0.0053532474	-0.2402208864	-0.1241484657	0.0578971435	0.08203202	-0.1557647545	-0.0310354476	-0.081181578	-0.0213855568	-0.0519208936	0.1627843672	0.1005027184	-0.1478700278	-0.190289113	-0.0160056247	-0.1817158357	-0.0527448101	-0.0800495715	-0.0398186971	-0.0036311949	0.1299040118	-0.1649179288	-0.0696046732	0.0400118407	0.0413259162	-0.102545099	-0.0994208925	-0.2013553203	0.1035611374	-0.0324622868	0.0787657027	-0.1426427884	0.1503019969	0.1581792149	-0.0179687	6.909999999999902e-05	0.00032287417969	4.774809999999865e-09	-0.0352944	-5.159999999999887e-05	0.0012456946713599	2.6625599999998833e-09	0.0169189	0.02343527	0.00028624917721	0.0005492118799729	0.000178836	-0.000284217	3.1982314896000004e-08	8.077930308900001e-08	-0.000480077	-0.000626237	3.92172780169e-07	2.3047392592900003e-07	0.000101879	-0.0003337439999999	1.0379330641e-08	1.1138505753599998e-07	0.0	0.0	0.0	0.0	0.0	-0.4324995485	-0.2263429536	0.1511643345	0.3486806869	0.6110301669	1.523332497	-0.5352775346	-0.1653965928	-1.036242388	0.8654307522	-0.3188826358	-0.7292074573
62338.0185818122	159.51104802731425	25443.77444277215	3886028560.7063622	87099.41188848586	-480.8610665457672	231227.3653195328	7586307551.320112	63072.00860262784	-57.77007279830286	3337.3813111212125	3978078269.16996	69177.05729315792	45085.75993403029	2.844688	65.052795	0.0740906499999999	0.0458497	-0.0344170816	-0.172647245	0.0278408004	-0.1403909966	-0.1564312376	0.1407616032	-0.217146934	-0.0447076554	0.0704338323	-0.1586347653	-0.2127039459	-0.0792047298	0.1249323479	-0.0826185174	-0.0409724246	-0.2765660009	0.0125522958	-0.1227893433	0.0154145158	0.0576434224	-0.0480134016	0.0277234035	-0.0310559763	0.2219568669	-0.0851281674	0.1057912596	-0.1412340839	0.0612837969	-0.0540219429	0.0825098179	-0.1664649325	0.085709458	-0.2268393519	0.1038449667	-0.0747163899	-0.1386743774	-0.1596429975	0.1369902504	-0.1958011991	-0.0380894084	0.0139922093	-0.0844560194	-0.0772196736	0.0211650336	0.1303954156	-0.0157416151	0.07130747	0.1342710318	-0.162682833	-0.1521138915	0.0081348469	-0.133425918	-0.0383513625	-0.0605883155	-0.0739616939	-0.0177834063	0.1060213576	-0.0770953879	0.1056677702	0.1516156407	-0.0003343556	-0.156626476	0.0896205253	-0.056611551	0.1013656719	0.1769891141	-0.1619272807	0.0610698637	-0.0318419643	0.0839234446	0.1095454141	0.0671521705	-0.1910567708	0.0553113482	-0.054593267	-0.1280353002	-0.0714126274	0.1509910346	0.0073571578	-0.0973239537	0.1162805038	0.1561356449	-0.017982	-1.3300000000000811e-05	0.000323352324	1.7689000000002158e-10	-0.0352663	2.8099999999996184e-05	0.00124371191569	7.896099999997855e-10	-0.0148745	-0.0317934	0.00022125075025	0.0010108202835599	0.000670685	0.0004918489999999	4.4981836922500006e-07	2.41915438801e-07	-0.000319546	0.000160531	2.5770201961e-08	1.02109646116e-07	0.000294616	0.0001927369999999	8.6798587456e-08	3.7147551169e-08	0.0	0.0	0.0	0.0	0.0	0.8756821177	-0.4283098808	-1.24496379	-0.9266952197	-1.036278481	-0.9413680343	-1.740285012	-1.53861057	0.3565762573	0.446959353	-0.7518923103	0.4676821361
62490.75809685947	152.73951504727302	23329.35945687614	3905094847.520208	86736.90634300595	-362.5055454799149	131410.27050369064	7523290921.955385	63110.76078213778	38.75217950994556	1501.731416771045	3982968126.50022	69143.52038829864	41799.87985552896	2.836097	64.856331	0.0773226949999999	0.0510955	-0.0410683359	-0.238823506	0.1013413203	-0.183589834	-0.0100135463	0.1774190323	0.0679728794	-0.0322939789	-0.1915972995	-0.0637135728	-0.0631382243	-0.1494793556	0.089033191	0.2019548914	0.1220583176	0.0199353037	-0.0157893207	-0.1157827933	-0.016444451	0.0900316324	0.2301016523	0.123264835	-0.1069760804	-0.0530830764	-0.1810789342	-0.0428057854	0.0517152762	-0.0918154818	-0.1351054929	-0.0630837458	0.0541965984	-0.0397118767	0.1198819821	0.0687242292	0.0681310939	-0.1803595087	0.0169752813	0.0770847917	0.1969810248	0.0403175435	-0.0581145683	0.0908603405	-0.0649456946	0.0101492759	0.1436597048	-0.1129255751	0.0088917858	0.040887529	-0.1101964547	-0.0355435617	0.133320575	-0.0489277409	0.144310599	0.1088284345	0.1414691737	-0.1627788833	0.0610959711	-0.0856984445	0.1432737255	0.0790175026	-0.1212765102	-0.0868445583	0.0157339244	0.1486619554	-0.0374992219	-0.171609373	-0.1404311566	-0.0907856215	0.1343075555	0.2442394196	-0.0795199694	-0.0575040602	0.0406874148	-0.0401124073	-0.1743231433	-0.0797291111	0.0074396032	0.0588250971	-0.0036403153	0.0994058761	-0.0553890833	0.1538107079	-0.0179801	1.900000000002594e-06	0.0003232839960099	3.610000000009857e-12	-0.0414602	-0.0061939	0.00171894818404	3.836439721000003e-05	0.0083383	0.0232128	6.952724689e-05	0.0005388340838399	-9.48599e-05	-0.0007655448999999	8.99840062801e-09	5.860589939160099e-07	-0.000319546	0.0	0.0	1.02109646116e-07	0.000101879	-0.0001927369999999	1.0379330641e-08	3.7147551169e-08	0.0	0.0	0.0	0.0	0.0	-1.845195188	-0.3492103021	-2.086397853	-1.41421021	-0.7670510855	0.9190384691	-0.7607680927	1.26139046	-0.877931001	-1.237925487	-1.433219091	1.71128564
63145.75493006077	654.9968332013013	429020.8515037334	3987386365.687294	87764.50500197637	1027.5986589704262	1055959.0039178182	7702608338.241936	63152.9572709517	42.19648881391913	1780.5436682232023	3988296012.0666513	69242.55600918275	66697.30879367248	2.851226	65.202309	0.082648645	0.056741	0.1972489248	0.0761386542	1.71341e-05	0.0511619472	0.0081200271	0.0714908196	-0.0420802203	0.2736951029	-0.1024322893	-0.1496539335	0.0197720008	-0.0247572257	0.0682347936	-0.0539656533	-0.0605345099	-0.1565807734	-0.2187645703	0.2271612545	-0.0307565772	0.1393991865	-0.0257209114	-0.0771951146	-0.0072786035	-0.2210002955	0.1085857781	-0.0183885722	-0.0687899567	-0.147693618	-0.1156509952	0.0221799635	0.0086028675	0.0372045643	-0.0115679587	0.0293136639	-0.1902514425	-0.0210897987	-0.087438917	0.0186880129	-0.0203578839	0.2541299683	-0.1503487171	-0.0823539809	0.1614979023	0.0070523464	0.1925796077	0.022016498	-0.0480395147	0.019574144	0.1100701386	0.075313214	-0.0810489242	0.1311635911	-0.0936782157	0.1953813782	0.048590232	-0.1821889891	0.0475087506	-0.1030927185	-0.0110749694	0.0555611079	0.0757328251	-0.0595636318	0.2861910902	-0.0865402346	-0.0751092201	0.0725909006	0.0167462381	0.0423139064	-0.0148638306	-0.0274784841	-0.0820531153	0.087950054	0.0027295947	0.0244588965	0.0563903277	-0.1273548783	-0.0511301466	0.0901474244	0.025400419	0.1185374026	0.0335246743	0.1512085936	-0.0179839	-3.800000000001719e-06	0.00032342065921	1.4440000000013064e-11	-0.0478007	-0.0063404999999999	0.00228490692049	4.020194024999999e-05	-0.0374256	-0.0457639	0.00140067553536	0.00209433454321	0.000415716	0.0005105759	1.7281979265600001e-07	2.6068774966081e-07	-0.000419779	-0.000100233	1.0046654289000006e-08	1.76214408841e-07	0.000101879	0.0	1.0379330641e-08	0.0	0.0	0.0	0.0	0.0	0.0	-0.7054608575	-0.1555216999	-0.5819833965	0.7753325767	0.03063594122	-0.6939150469	-1.1481852	-0.7494299187	-0.2188482796	-0.3547422484	1.351766638	-0.01748145374
