global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	aroma_motion_01	aroma_motion_02	aroma_motion_05	aroma_motion_07	aroma_motion_08	aroma_motion_09	aroma_motion_13	aroma_motion_16	aroma_motion_17
61380.519322631175	n/a	3767568152.315899	n/a	88496.99282552084	n/a	7831717739.160286	n/a	61328.83871577169	n/a	3761226458.2251368	n/a	64636.3095026643	47038.16493106464	n/a	n/a	n/a	n/a	-0.0015382357	0.2229555056	-0.2221444441	-0.2284702133	0.1319724301	-0.1097970397	0.1909256644	-0.1500005352	0.1826721715	0.1751828094	-0.0176296259	0.2442347423	-0.0878083617	0.0550161214	-0.2355303701	0.1115559343	-0.1547324958	0.1189422567	-0.1670186602	0.0575312715	-0.0704971752	0.0133060608	0.3188089582	-0.0094236969	-0.1018821559	0.0737174522	0.1266286441	-0.2470360569	0.0080455188	-0.2430551677	0.1703413656	-0.1488717497	0.1935751471	0.1219822781	-0.1731451739	0.0389257239	-0.1658964094	0.0134195951	-0.0667314595	0.0873387935	-0.1451862864	0.1322112747	0.1664234577	-0.0443931961	0.189465164	-0.2724087217	-0.0320046839	0.1720374023	-0.0199329525	0.0100598871	-0.0859955058	-0.1189454446	0.029183811	-0.2696127626	0.217975717	-0.001968509	0.0574803838	-0.0455495946	0.06402002	-0.0375977613	0.1457295216	-0.0560246228	0.3265750274	-0.1089918419	-0.1425188688	0.2030162986	0.0583031418	0.0560528587	-0.0429786774	-0.0513094	n/a	0.0026326545283599	n/a	-0.0541959	n/a	0.00293719557681	n/a	-0.076949	n/a	n/a	0.005921148601	0.00290706	n/a	8.4509978436e-06	n/a	-0.00157175	n/a	n/a	2.4703980625e-06	-0.00157313	n/a	n/a	2.4747379969e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7796090158	1.193062688	-3.133425088	-0.4837774768	-0.5871602203	1.003312108	-0.5933026891	-0.4119042738	0.8455534781
61948.300237867385	567.7809152362097	3837591902.360961	322375.1677064679	89131.72063368055	634.7278081597178	7944463623.120476	402879.39045123954	61540.18359930655	211.3448835348536	3787194197.4363594	44666.65979636082	64830.64017401199	55154.50766588472	2.347453	54.934204	0.0615901999999999	0.0342816	0.0618610943	0.1297965806	0.0290140317	-0.1719805144	-0.0586793793	-0.1439758173	-0.0224481479	-0.0104442259	0.1365445747	-0.0267923172	-0.0344588773	0.2086602385	-0.1982016314	-0.0311745465	-0.106603557	-0.310792699	-0.2312765499	0.0366824439	0.0121713262	-0.1422339856	0.0344549503	-0.0475204737	-0.0702779228	-0.0051734736	0.1777488632	-0.1053027891	0.0222280844	-0.0506189602	0.0255330802	-0.1238432116	0.1598966202	-0.2475268046	-0.0227197478	-0.0577082853	-0.3374949347	0.0676767298	-0.0093188139	-0.1211764105	-0.1832739112	0.0093084524	0.0484281768	0.0033714413	-0.0285773852	0.042409485	-0.1006334134	-0.2471872467	-0.024024286	0.2141557355	-0.0093393952	0.0447045598	-0.0745203616	0.0711318315	0.0236806496	-0.2475985458	0.1046432384	-0.1128894943	-3.23541e-05	-0.1640084733	0.0802997493	-0.1121473954	0.1425228494	-0.0340874218	0.1184281873	-0.0229670957	0.0836734321	0.0199431265	0.1333558278	0.0985967086	0.0058387829	-0.0513092	1.9999999999881227e-07	0.0026326340046399	3.9999999999524904e-14	-0.0540959	9.999999999999593e-05	0.00292636639681	9.999999999999185e-09	-0.107473	-0.0305239999999999	0.0009317145759999	0.011550445729	0.00254341	-0.00036365	6.468934428099999e-06	1.3224132250000008e-07	-0.00131608	0.0002556699999999	6.536714889999998e-08	1.7320665664000005e-06	-0.00157313	0.0	0.0	2.4747379969e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.49897764	1.597879744	-1.657795073	0.6582015166	0.3473423436	0.4479552742	-0.6766875938	0.8605558181	0.988553523
62001.35368162741	53.05344376002904	3844167858.354253	2814.667894798564	89554.82774305556	423.107109375007	8020067172.088354	179019.62600367412	61731.86146981685	191.6778705103061	3810822720.5286574	36740.40604336567	65202.595458550735	57117.75482521364	1.527651	35.749504	0.0982001999999999	0.0736677	0.0363793663	0.1394239927	0.2409781227	0.0648751719	-0.1896947045	-0.1158011387	-0.0322979424	0.0976954621	-0.0507430237	-0.275745017	-0.151775629	0.2563236464	-0.0347725542	0.0087711586	-0.1573529359	-0.0811634273	-0.2214900109	-0.0174823413	-0.025419795	-0.1678843937	0.025594995	0.0818456159	-0.0628521404	0.1970387672	-0.0703408117	0.1380418919	0.0699433567	0.2254617466	-0.0429326655	0.2098609902	0.2549499035	-0.2151151035	0.0067796912	-0.0998603495	-0.2137634935	0.1100016053	-0.1654064587	0.0263686282	-0.1689304647	-0.0574345818	-0.0596254644	0.065005986	-0.097175374	0.0903813696	0.1190570264	-0.2411348547	-0.029045862	0.2033163353	-0.0141238476	0.0509835279	0.0836237101	0.1031857963	0.1958451109	-0.1717565648	-0.1122930803	-0.0374682445	-0.0286299053	-0.248423886	0.1295412243	-0.1910713448	0.0737573815	-0.0355692127	0.0052917026	-0.0163588173	0.2416423633	-0.1315665745	-0.0765312631	0.1238927692	0.1291251515	-0.0513315	-2.2300000000002876e-05	0.00263492289225	4.972900000001282e-10	0.017464	0.0715599	0.000304991296	0.00512081928801	-0.100035	0.007438	5.5323844e-05	0.010007001225	0.00248071	-6.269999999999974e-05	6.153922104100001e-06	3.9312899999999665e-09	-0.00163698	-0.0003208999999999	1.0297680999999989e-07	2.6797035204e-06	-0.00157313	0.0	0.0	2.4747379969e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65584531	2.217772866	0.232923387	1.939819938	0.3129143173	1.216506185	-0.474521454	1.609000129	2.106777853
61476.25798979797	-525.0956918294469	3779330296.4281983	275725.4855778454	89867.31606770834	312.4883246527752	8076134497.213388	97648.95304429822	61569.467533117	-162.39393669985293	3790799332.311548	26371.79067687584	65116.54670154307	44258.67010579864	3.132119	73.296654	0.185635	0.0873366	-0.0996463713	0.2154204321	0.1226808582	0.1226693369	-0.1339965552	-0.0857977996	0.1209491704	-0.004922403	0.2294835128	-0.2445532683	0.015629927	0.3115470829	0.0338257687	-0.1228747664	-0.0749885221	0.1370248274	0.0710209943	0.2542086976	-0.0289239369	0.1309526913	-0.1727404054	0.1948664237	-0.0225454376	-0.0820961297	0.0240918741	0.2852905878	0.1280266138	-0.199531689	-0.140485817	0.1831867091	0.1814029183	-0.3454319596	0.0227000934	0.0890604737	-0.0253794516	0.180679754	-0.0234596509	0.0260713524	0.2880353046	-0.0478806913	-0.0430975308	-0.1047926875	0.0946942252	0.0760983523	0.0466241778	-0.2457223254	-0.0262524464	0.1582717918	0.0874965836	0.1046722325	0.112309764	-0.2054421059	0.0228443835	-0.1445240175	-0.0744261775	0.2084997932	0.0328941108	0.0396932714	-0.0263442814	-0.2722851102	0.057609226	-0.3233580459	-0.4059809419	0.1708714044	-0.0960974023	-0.0702500392	-0.0636703376	-0.2750167694	-0.1831363037	-0.0152842	0.0360473	0.0002336067696399	0.00129940783729	-0.035671	-0.053135	0.001272420241	0.002823328225	-0.0425678	0.0574671999999999	0.0033024790758399	0.00181201759684	0.0028598	0.0003790899999999	8.17845604e-06	1.4370922809999993e-07	-0.0020376	-0.00040062	1.6049638440000017e-07	4.1518137600000006e-06	-0.00157313	0.0	0.0	2.4747379969e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.765676427	1.049181523	0.6915112686	1.705455038	0.1414385285	0.6549243326	-0.8423450761	1.556215209	1.467133418
61635.61331014628	159.35532034830976	3798948828.117881	25394.118123312423	89007.71999131945	-859.596076388887	7922374218.053128	738905.4145431693	61443.67343638869	-125.7940967283066	3775325005.357577	15824.15477169056	64841.09500409359	55532.58578466666	3.274209	76.621796	0.1767918	0.0796769999999999	0.0662447607	0.0848410536	0.0522563582	0.0656131366	0.018210421	-0.104863743	-0.031532921	0.0529774858	0.0811640439	-0.0670358845	0.0088069448	0.2500026667	0.0711746208	-0.0470595818	-0.1708501351	0.1622516338	0.1907081668	0.18160069	0.0143919017	-0.0231192324	0.0432432744	-0.0848579601	0.0908109069	-0.178587022	-0.1223024562	-0.0933289578	-0.0106164102	0.2876456902	-0.1278421148	0.0293572174	0.1053847299	-0.2010703343	0.0128194349	0.0581813223	-0.0853867666	0.0327780482	0.0271837349	0.0957433203	0.3037556601	-0.0168135358	0.0017873776	0.1249587367	0.0233933108	-0.2733561144	-0.0574123397	-0.1969428268	-0.0216596992	0.1144693679	0.0372963494	0.1634398558	0.0637521923	-0.1459337894	0.0506047789	0.0961409584	0.1683167315	0.0918085707	-0.1910759436	0.0664689836	-0.1063260989	-0.0216745065	-0.4247513262	0.1388024921	-0.1760292431	-0.0790835989	0.1153917739	-0.0857621285	0.1191053506	0.0564007196	-0.1240464329	-0.0385207	-0.0232365	0.0014838443284899	0.00053993493225	-0.0148202	0.0208508	0.00021963832804	0.00043475586064	-0.0827347999999999	-0.0401669999999999	0.0016133878889999	0.0068450471310399	0.00153389	-0.00132591	2.3528185321e-06	1.7580373281e-06	-0.00173575	0.00030185	9.11134225e-08	3.0128280625000003e-06	-0.00179612	-0.0002229899999999	4.9724540099999984e-08	3.2260470544e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.107205741	1.010976539	0.7001484712	-0.04800629229	0.1146637468	0.6443303312	-0.8162441918	0.5164992199	-0.2657196577
61533.10554726292	-102.50776288335328	3786323078.2905993	10507.84145134978	89408.11820746528	400.39821614582615	7993811601.400084	160318.73149275972	61345.86349239865	-97.80994399004705	3763314967.628009	9566.785143336136	64758.17119851799	49689.738061654345	2.092403	48.96563	0.0909538	0.0467034	-0.0060544681	0.1784323158	0.0009702561	-0.0471830352	-0.0454838723	-0.0614402405	0.0974771588	-0.125192199	6.29946e-05	0.1126294177	-0.0527511453	0.1497858026	-0.1083368428	0.0759110402	-0.0332221297	0.0827062225	0.1528141957	-0.0186683057	-0.0986011809	-0.0014861818	0.0033640368	-0.0329143248	0.0588772737	0.0351154047	-0.001017811	0.1685827913	0.0163887801	0.0619332354	0.0349430709	-0.0677086911	0.1451118918	-0.0389454913	0.107276149	0.1081120032	0.0747491782	-0.1218306981	-0.0776352094	0.152937942	0.0717259915	-0.1026138031	-0.0310158458	0.1580338902	-0.0213982099	0.076224513	-0.1048078116	-0.1679657771	-0.050455202	0.0837654251	0.0481886362	0.1028341041	-0.0531007294	-0.1829373804	0.1109293441	0.0257089533	0.0143426803	0.018593249	-0.0594565205	-0.0513573941	-0.0117663465	0.2171585928	-0.209285983	0.1911151438	0.0624811133	0.0822506202	0.0348306105	0.0475112587	-0.0374510508	0.0556116817	0.0868776183	-0.0152307	0.0232899999999999	0.00023197422249	0.0005424240999999	-0.0107988	0.0040214	0.00011661408144	1.6171657959999995e-05	-0.0470969	0.0356378999999999	0.0012700599164099	0.0022181179896099	0.00159179	5.790000000000005e-05	2.5337954041000003e-06	3.3524100000000062e-09	-0.00145655	0.0002792	7.795264000000004e-08	2.1215379025e-06	-0.00157313	0.0002229899999999	4.9724540099999984e-08	2.4747379969e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5926861906	0.9832731028	-0.1442357885	-0.9823981187	-0.2026685379	-0.2233200484	-0.2981705304	-0.02169956317	0.8331396323
61547.6689468504	14.563399587474125	3788115552.791093	212.09260754444145	89492.23021701389	84.11200954861124	8008859269.215013	7074.830150305668	61225.05676564723	-120.80672675141976	3748507575.956725	14594.265228392202	64625.2433444577	45984.95400960068	1.807021	42.287228	0.1127923999999999	0.0615632	-0.0427106378	0.2057694109	-0.0145993561	-0.2123070501	-0.0226340037	-0.1478119179	0.0049930512	-0.2295209378	0.1792267043	0.2576322166	0.0988418558	0.2392663235	-0.1386629547	0.1079788396	0.0721183944	0.0310388837	0.2084686617	0.0482032581	0.2199674004	0.0872179933	-0.0602257113	-0.1115798464	-0.0548155136	0.128264465	0.0481253558	-0.0967280117	-0.0920941977	-0.0608917999	0.0836380093	-0.2859134145	0.1000284127	-0.1224709602	0.151154709	0.0538805484	0.1411529695	-0.0901858129	0.1149862042	0.1919458199	0.1319569435	-0.1204071433	-0.0624346271	0.0458303427	-0.2317523661	0.0315367619	-0.1630991519	-0.1743364378	-0.0839654356	0.1180644406	0.0650773801	0.0619790555	-0.0602689583	-0.1104341069	-0.1300579218	0.0245258963	0.0999585639	0.0213004157	0.0151460044	0.199214931	-0.1440948234	-0.0417962889	-0.1560452585	0.0555396156	0.098536834	-0.010557737	-0.0701724267	-0.0127784774	-0.0295759371	-0.0108457204	0.1293132178	-0.0152782	-4.750000000000067e-05	0.00023342339524	2.256250000000063e-09	-0.050859	-0.0400602	0.002586637881	0.00160481962404	-0.0235872	0.0235096999999999	0.0005527059940899	0.00055635600384	0.00108701	-0.00050478	1.1815907401e-06	2.548028484e-07	-0.00154318	-8.662999999999987e-05	7.504756899999977e-09	2.3814045123999995e-06	-0.00118104	0.00039209	1.537345681000001e-07	1.3948554816e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.330793187	0.8519200183	-0.8594277167	-0.7359351879	0.9018110423	-0.6934586972	-0.4064120769	-0.3466760155	-0.3029129173
61752.96317499229	205.29422814189456	3813428460.891954	42145.720108376256	89222.95019097222	-269.28002604166977	7960734840.780709	72511.73242500235	61370.24349884424	145.18673319701338	3766306787.107434	21079.18749642075	64666.82067502498	48148.956474242834	1.681476	39.349266	0.13599449	0.0812654	-0.040513418	0.2579666367	0.005169611	-0.2001986099	-0.0772520388	-0.1870671731	0.0595263984	-0.0615763242	0.1221223631	0.214692187	-0.07065613	0.2052764448	-0.0396855717	0.0645829174	0.2153771836	-0.1567564678	-0.1109163234	-0.3227723468	0.0257639857	-0.0154618128	-0.028154793	-0.0728777066	0.1434009749	-0.0025053059	-0.0698155046	0.0806210735	-0.0392846796	0.1884086852	0.1024822181	-0.2523682014	0.1743952552	-0.032669827	0.1320271081	-0.1583488055	0.1469536598	-0.0804394068	0.1804030292	0.0108649225	-0.2057202417	0.0619712877	0.0073488788	-0.0328072226	0.157414483	-0.0186205568	0.2417308473	-0.1789576201	-0.0739401402	0.1298584843	-0.0127077188	0.0189372218	-0.1815329997	0.0879316818	-0.0521428332	0.0054440556	-0.1155600744	0.0693031603	-0.0200461852	-0.0028302834	-0.0569265882	0.2104019771	-0.1157135304	0.0272850145	0.1244598698	-0.1271545829	0.0864914115	0.1029139171	-0.0860412163	-0.1262973696	-0.1402109381	-0.0153208	-4.260000000000028e-05	0.00023472691264	1.8147600000000238e-09	0.00303769	0.05389669	9.2275605361e-06	0.0029048531929561	-0.0493774	-0.0257902	0.00066513441604	0.00243812763076	0.00189832	0.00081131	3.6036188224e-06	6.582239161e-07	-0.00124083	0.0003023499999999	9.14155224999999e-08	1.5396590889e-06	-0.00119268	-1.1640000000000044e-05	1.3548960000000102e-10	1.4224855824e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6798801767	1.350529224	-1.334814713	-0.6465964141	0.4601716887	0.2243882064	-0.1590877683	0.02896632159	0.6661835138
61649.79827618618	-103.16489880611334	3800697627.494448	10642.996345675609	89413.194375	190.24418402778971	7994719328.341533	36192.84955639953	61429.30944390114	59.06594505690009	3773560058.754562	3488.7858654647403	64702.65272882438	37935.29167392107	2.922943	68.401588	0.08203083	0.0557946	-0.1653174371	0.2133758225	0.1069657831	-0.1451191867	-0.1656311577	-0.1676877912	-0.0248853358	0.0162881163	-0.0472357531	0.0237354168	0.0061584	0.2310769092	-0.1285613579	0.044121133	0.1722364723	-0.1029730171	0.0520142659	-0.1538066996	-0.0580838329	0.0185237521	-0.0059417546	-0.1794867237	-0.0226832677	-0.0848656385	-0.16366386	-0.114342155	-0.1506095228	-0.0221065909	0.1279348655	-0.0852746415	0.1384233206	-0.1336165968	0.0890259408	-0.1176574764	0.0895364044	-0.074046387	0.2514871619	-0.0196733423	-0.1732096649	0.0033946934	0.1139797511	-0.0330220231	-0.009089063	-0.2060868319	0.0162421489	-0.1579585613	-0.1364451989	0.1284403372	0.0548890315	-0.0114058574	-0.0729524846	0.1270887362	-0.1096058169	0.0400758406	-0.2392205482	-0.1291176638	-0.0129414199	-0.085286303	-0.1370073212	0.0262289374	-0.0425403576	0.1769465017	-0.1037789199	-0.1365660255	-0.0732359827	0.0591887135	-0.1072985775	-0.1040532267	0.1558582722	-0.0153208	0.0	0.00023472691264	0.0	-0.0166713	-0.01970899	0.00027793224369	0.00038844428682	-0.00860656	0.04077084	0.0016622613943056	7.407287503359999e-05	0.0014673	-0.00043102	2.15296929e-06	1.8577824040000007e-07	-0.00124083	0.0	0.0	1.5396590889e-06	-0.00119268	0.0	0.0	1.4224855824e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.270727175	1.738931217	-0.5562275392	0.7577141197	0.5494547724	-0.6512510439	0.1834732875	0.8605781365	1.648779433
61748.046666448616	98.24839026243716	3812821267.121916	9652.74618916016	88837.44625868056	-575.7481163194461	7892091857.763957	331485.89344539045	61558.11967127489	128.81022737375315	3789402097.463001	16592.074676077984	64922.48302550511	49931.27229206811	3.075556	71.972977	0.1406434399999999	0.0888575999999999	-0.0529113553	0.2299256192	0.1850138742	0.0103181708	-0.0836846809	-0.2343500362	-0.0032021949	0.1578650624	-0.2200149777	-0.1280490447	-0.304653812	0.0149246517	0.0599223564	-0.124213013	0.0537031794	-0.164590499	0.1228463933	-0.0351080821	0.0730799766	0.3010170126	-0.1349028349	-0.0813395542	-0.1462602164	-0.0401958816	0.0707757261	-0.2498740894	0.2589966401	0.1568657967	-0.010476541	0.0591315279	0.2690689366	0.1232522334	-0.2475473843	-0.1983757217	0.0030429574	-0.0197509305	0.1581825101	0.003230489	0.1293566668	-0.0135816609	-0.0179214122	-0.4048736792	-0.0495832986	-0.0660439433	0.0318202867	-0.1735251381	-0.107270495	-0.1751653379	-0.0051403476	0.1167390372	0.1363251619	0.3720237105	0.0814109789	0.0263696768	-0.0096623358	0.0735374935	-0.0285373325	-0.2262785724	-0.1896674878	0.2369992331	-0.0355250159	0.1388106829	0.0045691062	-0.0263600966	-0.5828994679	-0.0283961323	0.1017952365	0.0999098614	-0.039240703	-0.0153224	-1.5999999999991715e-06	0.00023477594176	2.559999999997349e-12	0.0384865	0.0551578	0.00148121068225	0.00304238290084	-0.0567611	-0.04815454	0.0023188597226116	0.00322182247321	0.00215271	0.00068541	4.6341603441e-06	4.697868681e-07	-0.001302	-6.116999999999993e-05	3.741768899999991e-09	1.695204e-06	-0.00119269	-9.999999999940612e-09	9.999999999881223e-17	1.4225094361e-06	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1754188585	1.747031164	0.6047472	1.573207352	0.3755223259	0.4827783221	-1.424689559	0.666943996	0.8713129528
